"medcode"	"term"	"database"
"109942"	"borderline hypertension monitoring first letter"	"Gold"
"12948"	"hypertension treatm.stopped"	"Gold"
"34744"	"hypertension secondary to endocrine disorders"	"Gold"
"98230"	"lifestyle advice regarding hypertension"	"Gold"
"10961"	"excepted from hypertension qual indicators: patient unsuit"	"Gold"
"16565"	"good hypertension control"	"Gold"
"22356"	"suspected hypertension"	"Gold"
"102458"	"[x]other secondary hypertension"	"Gold"
"42229"	"secondary hypertension nos"	"Gold"
"43220"	"refuses hypertension monitor."	"Gold"
"34281"	"dna - did not attend hypertension clinic"	"Gold"
"27511"	"poor hypertension control"	"Gold"
"31755"	"secondary malignant hypertension"	"Gold"
"18590"	"moderate hypertension control"	"Gold"
"19070"	"hypertension annual review"	"Gold"
"39649"	"malignant hypertensive renal disease"	"Gold"
"2666"	"h/o: hypertension"	"Gold"
"63000"	"benign hypertensive heart and renal disease"	"Gold"
"3712"	"hypertension nos"	"Gold"
"105316"	"stage 1 hypertension"	"Gold"
"67232"	"malignant hypertensive heart and renal disease"	"Gold"
"21837"	"hypertensive heart&renal dis wth (congestive) heart failure"	"Gold"
"16173"	"hypertensive heart disease nos"	"Gold"
"21826"	"hypertension treatm. started"	"Gold"
"34108"	"exception reporting: hypertension quality indicators"	"Gold"
"69753"	"[x]hypertensive diseases"	"Gold"
"95334"	"malignant hypertensive heart disease without ccf"	"Gold"
"8857"	"cardiomegaly - hypertensive"	"Gold"
"26347"	"chronic peripheral venous hypertension"	"Gold"
"95359"	"trial withdrawal of antihypertensive therapy"	"Gold"
"10632"	"white coat hypertension"	"Gold"
"36305"	"hypertension monitor.chck done"	"Gold"
"102406"	"hypertension 9 month review"	"Gold"
"15377"	"malignant essential hypertension"	"Gold"
"3979"	"hypertensive encephalopathy"	"Gold"
"10976"	"excepted from hypertension qual indicators: informed dissent"	"Gold"
"204"	"hypertensive disease"	"Gold"
"105480"	"hypertension resistant to drug therapy"	"Gold"
"16059"	"secondary hypertension nos"	"Gold"
"105274"	"stage 2 hypertension (nice - nat ins for hth clin excl 2011)"	"Gold"
"114710"	"borderline hypertension monitoring third letter"	"Gold"
"7329"	"secondary hypertension"	"Gold"
"4344"	"seen in hypertension clinic"	"Gold"
"57288"	"secondary benign hypertension"	"Gold"
"44350"	"[x] adverse reaction to antihypertensives nos"	"Gold"
"30770"	"[x] adverse reaction to other antihypertensives"	"Gold"
"114781"	"borderline hypertension monitoring second letter"	"Gold"
"112611"	"[x]poisoning by other antihypertensive drugs, nec"	"Gold"
"43935"	"benign hypertensive renal disease"	"Gold"
"52427"	"benign hypertensive heart disease"	"Gold"
"4444"	"hypertension monitoring"	"Gold"
"61166"	"hypertensive heart disease nos without ccf"	"Gold"
"105487"	"severe hypertension"	"Gold"
"110631"	"hypertension self-management plan review"	"Gold"
"7057"	"hypertensive disease nos"	"Gold"
"20497"	"adverse reaction to antihypertensives nos"	"Gold"
"99259"	"trial reduction of antihypertensive therapy"	"Gold"
"103046"	"malignant hypertensive heart disease nos"	"Gold"
"25371"	"secondary benign renovascular hypertension"	"Gold"
"16292"	"hypertensive heart disease"	"Gold"
"18765"	"other specified hypertensive disease"	"Gold"
"6702"	"hypertensive retinopathy"	"Gold"
"63260"	"hypertensive agent poisoning nos"	"Gold"
"107704"	"primary hypertension"	"Gold"
"52127"	"benign hypertensive heart disease with ccf"	"Gold"
"105371"	"stage 1 hypertension (nice - nat ins for hth clin excl 2011)"	"Gold"
"15106"	"hypertensive renal disease nos"	"Gold"
"45149"	"attends hypertension monitor."	"Gold"
