"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"395753015"	2341	"G22z"	"G22z.00"	"hypertensive renal disease nos"	"38481006"	"64282015"	32
"396706011"	4109	"K013"	"K013.00"	"nephrotic syndrome with minimal change glomerulonephritis"	"266549004"	"396706011"	32
"396711013"	67377	"K06"	"K06..00"	"rf - renal failure"	"42399005"	"1229860014"	32
"396713011"	158	"K08yz"	"K08yz00"	"other impaired renal function disorder nos"	"197663003"	"303943013"	32
"398347019"	121	"L162"	"L162.00"	"unspecified renal disease in pregnancy"	"198609003"	"305277014"	32
"400870015"	3122	"PD11z"	"PD11z00"	"polycystic kidney disease nos"	"82525005"	"505126019"	32
"400871016"	9	"PD1y0"	"PD1y000"	"fibrocystic kidney disease"	"268234004"	"400871016"	32
"402249011"	144	"Q48y0"	"Q48y000"	"congenital renal failure"	"268854008"	"402249011"	32
"403109016"	446	"SP154"	"SP15400"	"renal failure as a complication of care"	"269301005"	"403109016"	32
"403110014"	194	"SP154-1"	"SP15411"	"kidney failure as a complication of care"	"269301005"	"403110014"	32
"411547015"	11317	"14D-1"	"14D..11"	"h/o: kidney disease"	"275552000"	"411547015"	32
"413415016"	139	"SP08N"	"SP08N00"	"unexplained episode of renal transplant dysfunction"	"277010001"	"413415016"	32
"422992018"	38	"7B015-1"	"7B01511"	"excision of rejected transplanted kidney"	"284348003"	"422992018"	32
"429878012"	1539	"G703"	"G703.00"	"acquired renal artery stenosis"	"289923007"	"429878012"	32
"443820016"	20885	"P7690"	"P769000"	"renal artery stenosis"	"302233006"	"443820016"	32
"444906018"	95	"G7010"	"G701000"	"atherosclerotic renal artery stenosis"	"302910002"	"444906018"	32
"444907010"	23	"G7010-1"	"G701011"	"aras - atherosclerotic renal artery stenosis"	"302910002"	"444907010"	32
"453312018"	924	"SP056-3"	"SP05613"	"peritoneal dialysis-associated peritonitis"	"276883000"	"413231010"	32
"454255014"	6594	"D215"	"D215.00"	"anaemia secondary to renal failure"	"310647000"	"454255014"	32
"460644012"	18303	"ZV420"	"ZV42000"	"history of renal transplant"	"161665007"	"2793932016"	32
"460680012"	1101	"ZV451"	"ZV45100"	"dialysis finding"	"251859005"	"375186018"	32
"460910019"	19	"ZV56"	"ZV56.00"	"[v]aftercare involving intermittent dialysis"	"398471000000102"	"1008471000000116"	32
"460911015"	8	"ZV560"	"ZV56000"	"[v]aftercare involving extracorporeal dialysis"	"410511000000103"	"1008481000000119"	32
"460912010"	436	"ZV561"	"ZV56100"	"[v]preparatory care for dialysis"	"385971003"	"1480159015"	32
"460913017"	19	"ZV56y"	"ZV56y00"	"[v]other specified aftercare involving intermittent dialysis"	"426351000000102"	"1008501000000111"	32
"460914011"	9	"ZV56z"	"ZV56z00"	"[v]unspecified aftercare involving intermittent dialysis"	"426361000000104"	"1008511000000113"	32
"461420012"	1465	"ZVu3G"	"ZVu3G00"	"dialysis procedure"	"108241001"	"172680015"	32
"477999016"	681	"K1386"	"K138600"	"renal vascular disease"	"16934004"	"477999016"	32
"479396010"	31	"K00-3"	"K00..13"	"agn - acute glomerulonephritis"	"19351000"	"479396010"	32
"481692010"	2278	"SK08"	"SK08.00"	"acute renal failure due to rhabdomyolysis"	"23697004"	"481692010"	32
"483965010"	7190	"PD111-1"	"PD11111"	"autosomal dominant polycystic kidney disease"	"765330003"	"3657945014"	32
"499033018"	1080	"K0A0"	"K0A0.00"	"acute nephritic syndrome"	"61503006"	"499033018"	32
"501594013"	142195	"7B00"	"7B00.00"	"transplantation of kidney"	"70536003"	"501594013"	32
"505126019"	55555	"PD11"	"PD11.00"	"polycystic kidney disease"	"82525005"	"505126019"	32
"505130016"	3	"PD1-2"	"PD1..12"	"fibrocystic kidney"	"82525005"	"505130016"	32
"507483018"	115	"SP0H0"	"SP0H000"	"dialysis disequilibrium"	"87235005"	"507483018"	32
"507993019"	30	"SP3y9"	"SP3y900"	"acute hypercalcaemia of dialysis"	"88351001"	"507993019"	32
"509108014"	476	"K05-1"	"K05..11"	"chronic uraemia"	"90688005"	"509108014"	32
"509111010"	521536	"K05"	"K05..00"	"chronic renal failure"	"90688005"	"509111010"	32
"1212359014"	2	"L093z"	"L093z00"	"renal failure nos following abortive pregnancy"	"10697004"	"2966499018"	32
"1221119015"	128	"K04-1"	"K04..11"	"arf - acute renal failure"	"14669001"	"1221119015"	32
"1226060014"	197	"PD110-1"	"PD11011"	"autosomal recessive polycystic kidney disease"	"28770003"	"1226060014"	32
"1227722017"	58	"ZV560-1"	"ZV56011"	"[v]aftercare involving renal dialysis nos"	"410511000000103"	"1008481000000119"	32
"1227723010"	51	"ZV56y-1"	"ZV56y11"	"[v]aftercare involving peritoneal dialysis"	"426351000000102"	"1008501000000111"	32
"2474415018"	58	"4N"	"4N...00"	"dialysis fluid examination"	"412859006"	"2474415018"	3
"2474453011"	13	"4N3"	"4N3..00"	"peritoneal dialysis fluid cell count"	"1016231000000104"	"2580201000000112"	3
"2478488018"	48	"4N0"	"4N0..00"	"dialysis fluid urea level"	"991511000000108"	"2570421000000112"	3
"2478490017"	25	"4N1"	"4N1..00"	"dialysis fluid creatinine level"	"1011911000000108"	"2552161000000112"	3
"2478492013"	15	"4N2"	"4N2..00"	"dialysis fluid glucose level"	"991521000000102"	"2558991000000119"	3
"2478640010"	10	"4N4"	"4N4..00"	"dialysis fluid potassium level"	"1016391000000106"	"2557801000000117"	3
"2478641014"	6	"4N5"	"4N5..00"	"dialysis fluid sodium level"	"991611000000107"	"2581131000000118"	3
"2645796013"	2033	"K0430"	"K043000"	"acute renal failure due to ace inhibitor"	"422593004"	"2645796013"	5
"2645965011"	568	"SP07G"	"SP07G00"	"stenosis of arteriovenous dialysis fistula"	"423062001"	"2645965011"	32
"2674486017"	35	"7L1f0"	"7L1f000"	"extracorporeal albumin haemodialysis"	"427053002"	"2674486017"	32
"2675886019"	1889	"7A606"	"7A60600"	"creation of graft fistula for dialysis"	"426340003"	"2675886019"	32
"2692168016"	255	"7L1A4"	"7L1A400"	"automated peritoneal dialysis"	"428648006"	"2692168016"	32
"2767154014"	2094	"K055"	"K055.00"	"chronic kidney disease stage 5"	"433146000"	"2767154014"	32
"2767383018"	115	"K051"	"K051.00"	"chronic kidney disease stage 1"	"431855005"	"2767383018"	32
"2767384012"	946	"K052"	"K052.00"	"chronic kidney disease stage 2"	"431856006"	"2767384012"	32
"2767385013"	3630	"K054"	"K054.00"	"chronic kidney disease stage 4"	"431857002"	"2767385013"	32
"2771041011"	43636	"K05-3"	"K05..13"	"chronic kidney disease"	"709044004"	"3036750018"	32
"2773184015"	24886	"K053"	"K053.00"	"chronic kidney disease stage 3"	"433144002"	"2773184015"	32
"3331116019"	1	"^ESCT1170580"	NA	"glomerulonephritis due to antineutrophil cytoplasmic antibody (anca) positive vasculitis"	"101711000119105"	"3331116019"	31
"3516789013"	1	"^ESCT1166435"	NA	"post-dialysis target weight"	"736190007"	"3516789013"	31
"3517310014"	1	"^ESCT1170561"	NA	"history of renal insufficiency"	"73901000119107"	"3517310014"	31
"3521937013"	1	"^ESCT1166878"	NA	"dialysis care plan"	"736690008"	"3521937013"	31
"3525741013"	1	"^ESCT1167145"	NA	"infection of bloodstream co-occurrent and due to haemodialysis catheter in situ"	"736918003"	"3525741013"	31
"3525743011"	1	"^ESCT1167147"	NA	"infection related to haemodialysis catheter"	"736918003"	"3525743011"	31
"3525746015"	6	"^ESCT1167149"	NA	"insertion of haemodialysis catheter"	"736919006"	"3525746015"	31
"3525758015"	2	"^ESCT1167156"	NA	"insertion of tunneled hemodialysis catheter"	"736922008"	"3525758015"	31
"3525759011"	18	"^ESCT1167155"	NA	"insertion of tunnelled haemodialysis catheter"	"736922008"	"3525759011"	31
"3526122014"	1	"^ESCT1167267"	NA	"infection of bloodstream co-occurrent and due to temporary haemodialysis catheter in situ"	"736984007"	"3526122014"	31
"3527360016"	61	"^ESCT1167612"	NA	"transplanted kidney present"	"737295003"	"3527360016"	31
"3527814014"	3	"^ESCT1167738"	NA	"chronic kidney disease clinical management plan"	"737429003"	"3527814014"	31
"3528309015"	48	"^ESCT1167847"	NA	"mckd - multicystic kidney disease"	"737562008"	"3528309015"	32
"3541411013"	1	"^ESCT1170579"	NA	"glomerulonephritis co-occurrent and due to antineutrophil cytoplasmic antibody positive vasculitis"	"101711000119105"	"3541411013"	31
"3634081012"	7	"^ESCT1168630"	NA	"pos-s renal (palliative care outcome scale symptom list for end-stage renal disease) score"	"761866001"	"3634081012"	3
"77541000006113"	16	"K03V"	"K03V.00"	"unspecified nephritic syndrome, dense deposit disease"	"462181000000102"	"891521000000111"	32
"78391000006114"	2	"L1622"	"L162200"	"unspecified renal disease in pregnancy - del with p/n comp"	"198609003"	"305277014"	32
"81251000006113"	58	"K03W"	"K03W.00"	"unsp nephrit synd, diff endocap prolif glomerulonephritis"	"3704008"	"7243014"	32
"81261000006110"	164	"K03X"	"K03X.00"	"unsp nephrit synd, diff mesang prolif glomerulonephritis"	"197679002"	"303967017"	32
"81581000006119"	37	"K03U"	"K03U.00"	"unspecif nephr synd, diff concentric glomerulonephritis"	"64212008"	"106739010"	32
"90461000006118"	18046	"7B002"	"7B00200"	"transplantation of kidney from cadaver"	"175902000"	"272325018"	32
"90471000006113"	25796	"7B001"	"7B00100"	"live donor renal transplant"	"175901007"	"272318013"	32
"106291000006118"	11	"7L1A0-1"	"7L1A011"	"thomas intravascular shunt for dialysis"	"302497006"	"444203017"	32
