"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"476611000006116"	135391	"J612"	"J612.00"	"alcoholic cirrhosis of liver"	"420054005"	"2920441014"	32
"476701000006114"	1273	"F3941"	"F394100"	"alcohol myopathy"	"19303008"	"32551012"	32
"476741000006111"	5398	"E01"	"E01..00"	"alcohol-induced psychosis"	"42344001"	"70655012"	32
"480271000000113"	1273	"13ZY"	"13ZY.00"	"disqualified from driving due to excess alcohol"	"279651000000104"	"480271000000113"	17
"542611000006114"	1262	"F11x0"	"F11x000"	"cerebral degeneration due to alcoholism"	"192811002"	"297011014"	32
"606991000000117"	64136	"136W"	"136W.00"	"alcohol misuse"	"15167005"	"606991000000117"	32
"622961000000116"	40005	"8HkG"	"8HkG.00"	"referral to specialist alcohol treatment service"	"431260004"	"2768649019"	40
"649311000006115"	1278	"SM00"	"SM00.00"	"toxic effect of ethyl alcohol"	"82782008"	"137325017"	32
"739501000000112"	2154	"8CAv"	"8CAv.00"	"advised to contact primary care alcohol worker"	"375941000000101"	"739501000000112"	32
"740641000000115"	27324	"8HkJ"	"8HkJ.00"	"referral to alcohol brief intervention service"	"376401000000103"	"740641000000115"	40
"750531000000113"	33523	"8IAJ"	"8IAJ.00"	"declined referral to specialist alcohol treatment service"	"380861000000109"	"750531000000113"	32
"753331000006118"	11300	"E0110"	"E011000"	"korsakov alcoholic psychosis"	"69482004"	"501296014"	32
"769451000006111"	195750	"E250-4"	"E250.14"	"intoxication - alcohol"	"25702006"	"43083015"	32
"831091000006115"	9632	"EMISQRE1"	NA	"referral to alcohol abuse team"	"831091000006104"	"831091000006115"	40
"831101000006114"	5544	"EMISQRE2"	NA	"referral to alcohol counsellor"	"831101000006105"	"831101000006114"	40
"851931000006116"	1141	"EMISQRE24"	NA	"referral to alcohol recovery project"	"851931000006100"	"851931000006116"	40
"852151000006117"	8232	"EMISQAU2"	NA	"audit score >5 alcohol dependence syndrome"	"852151000006101"	"852151000006117"	17
"852161000006115"	15808	"EMISQAU3"	NA	"audit score >5 alcohol problem drinker"	"852161000006104"	"852161000006115"	17
"852381000006110"	2291	"EMISQAL2"	NA	"alcohol reduction-maintain abstinence"	"852381000006106"	"852381000006110"	17
"852391000006113"	31551	"EMISQNO6"	NA	"not interested in reducing alcohol"	"852391000006109"	"852391000006113"	17
"852401000006110"	4324	"EMISQRE13"	NA	"ready to start reducing alcohol"	"852401000006106"	"852401000006110"	17
