"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"48102"	"J62y.00"	183	0	1	0	"other sequelae of chronic liver disease"	"February 2009"
"68376"	"J612.11"	6	0	0	0	"florid cirrhosis"	"February 2009"
"64750"	"J635400"	10	0	0	0	"toxic liver disease with chronic lobular hepatitis"	"February 2009"
"111206"	"J631300"	4	0	0	0	"hepatitis in mumps"	"August 2016"
"11271"	"65V3.11"	712	0	8	1	"hepatitis notification"	"February 2009"
"17219"	"J635300"	15	0	0	0	"toxic liver disease with chronic persistent hepatitis"	"February 2009"
"26405"	"J63A.00"	69	0	0	0	"hepatic granulomas in sarcoidosis"	"February 2009"
"28703"	"ZV02C00"	3464	0	145	0	"[v]hepatitis c carrier"	"February 2009"
"15855"	"J600100"	2754	0	57	0	"acute hepatitis - noninfective"	"February 2009"
"27565"	"PB62.00"	427	0	56	20	"congenital cystic liver disease"	"February 2009"
"66899"	"J639.00"	2	0	0	0	"hepatic granulomas in berylliosis"	"February 2009"
"45939"	"AE23.00"	18	0	1	0	"sequelae of viral hepatitis"	"February 2009"
"96638"	"ZC2CH11"	3	0	0	0	"dietary advice for liver disease"	"April 2009"
"17330"	"J613000"	598	0	33	0	"alcoholic hepatic failure"	"February 2009"
"7957"	"J614111"	1585	0	42	0	"autoimmune chronic active hepatitis"	"February 2009"
"27174"	"43B5.00"	15	0	4	179	"hepatitis e antigen present"	"February 2009"
"5988"	"2J21.00"	3424	0	60	176	"hepatitis a immune"	"February 2009"
"17222"	"SP14211"	281	0	25	0	"liver failure as a complication of care"	"February 2009"
"10234"	"J61y100"	76358	0	1148	2	"non-alcoholic fatty liver"	"February 2009"
"98148"	"J61y800"	1890	0	22	0	"nonalcoholic steatohepatitis"	"December 2009"
"104579"	"A70G.00"	279	0	2	0	"acute hepatitis c"	"July 2012"
"4405"	"7800.00"	1932	0	23	0	"transplantation of liver"	"February 2009"
"71011"	"7801700"	79	0	0	0	"extended right hemihepatectomy"	"February 2009"
"66374"	"J63y000"	4	0	0	0	"hepatoptosis"	"February 2009"
"65067"	"J60z.00"	5	0	0	0	"acute and subacute liver necrosis nos"	"February 2009"
"25383"	"J61y400"	1813	0	13	0	"hepatic fibrosis"	"February 2009"
"70524"	"J620300"	3	0	0	0	"liver abscess via umbilicus"	"February 2009"
"108343"	"AyuB100"	4	0	0	0	"[x]other chronic viral hepatitis"	"July 2014"
"25589"	"C376100"	197	0	10	9	"alpha-1-antitrypsin hepatitis"	"February 2009"
"21769"	"J625.11"	709	0	13	0	"[x] liver failure"	"February 2009"
"70649"	"A72x000"	14	0	1	0	"mumps hepatitis"	"February 2009"
"64451"	"J636.00"	2	0	0	0	"central haemorrhagic necrosis of liver"	"February 2009"
"20137"	"A70z.00"	2088	0	353	207	"unspecified viral hepatitis"	"February 2009"
"57419"	"L167100"	7	0	0	0	"liver disorder in pregnancy - delivered"	"February 2009"
"102568"	"4JQD.00"	152	0	6	566	"hepatitis c viral ribonucleic acid pcr positive"	"July 2011"
"101954"	"AyuJ900"	1	0	0	0	"[x]sequelae of viral hepatitis"	"March 2011"
"111977"	"A70E.00"	1	0	0	0	"hepatitis c genotype 5"	"September 2017"
"28904"	"65PM.00"	730	0	12	0	"hepatitis c contact"	"February 2009"
"10539"	"J61z.00"	3569	0	17	0	"chronic liver disease nos"	"February 2009"
