"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"anticoagulant"
"45"	"Warfarin 1mg tablets"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"61"	"Warfarin 3mg tablets"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"833"	"Warfarin 3mg/5ml oral solution"	"Warfarin"	"600microgram/1ml"	"Oral solution"	"Oral"	"02080200"	"Warfarin"
"1781"	"Warfarin 5mg tablets"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"2675"	"Fragmin 10,000units/4ml solution for injection ampoules (Pfizer Ltd)"	"Dalteparin"	"2500unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Dalteparin"
"2676"	"Fragmin 5,000units/0.2ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"2677"	"Clexane 100mg/ml Injection (Aventis Pharma)"	"Enoxaparin"	"100mg/ml"	"Injection"	"Subcutaneous Deep Injection"	"02080100"	"Enoxaparin"
"3744"	"Heparin 10 iu/ml Flush solution"	"Heparin"	"10 Iu/ml"	"Flush Solution"	NA	"02080100"	"Heparin"
"3895"	"Heparin sodium 1000iu/ml Injection"	"Heparin"	"1000iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"4446"	"Acenocoumarol 1mg tablets"	"Acenocoumarol"	"1mg"	"Tablet"	"Oral"	"02080200"	"Acenocoumarol"
"4888"	"Heplok 10 iu/ml Oral solution (LEO Pharma)"	"Heparin"	"10 Iu/ml"	"Oral Solution"	"Oral"	"02080100"	"Heparin"
"4995"	"Enoxaparin 100mg/ml injection"	"Enoxaparin"	"100mg/ml"	"Injection"	"Intramuscular"	"02080100"	"Enoxaparin"
"5046"	"Hepsal 50units/5ml patency solution ampoules (Wockhardt UK Ltd)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"00000000"	"Heparin"
"5305"	"Sinthrome 1mg tablets (Merus Labs Luxco S.a R.L.)"	"Acenocoumarol"	"1mg"	"Tablet"	"Oral"	"02080200"	"Acenocoumarol"
"5526"	"Fragmin 2,500units/0.2ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"12500unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"5747"	"Fragmin 25,000iu/ml Solution for injection (Pfizer Ltd)"	"Dalteparin"	"25,000iu/ml"	"Solution For Injection"	"Subcutaneous Injection"	"02080100"	"Dalteparin"
"5998"	"Fragmin 10,000 iu/ml Solution for injection (Pfizer Ltd)"	"Dalteparin"	"10,000 Iu/ml"	"Solution For Injection"	"Subcutaneous Injection"	"02080100"	"Dalteparin"
"6262"	"Warfarin 500microgram tablets"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"6478"	"Enoxaparin sodium 20mg/0.2ml solution for injection pre-filled syringes"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"6695"	"Dalteparin sodium 2,500units/0.2ml solution for injection pre-filled syringes"	"Dalteparin"	"12500unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"6860"	"Fragmin 15,000units/0.6ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"7154"	"Clexane Forte 120mg/0.8ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Enoxaparin"
"7199"	"Enoxaparin sodium 40mg/0.4ml solution for injection pre-filled syringes"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"7307"	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"7371"	"Clexane 100mg/1ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"8466"	"Marevan 1mg tablets (AMCo)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"8467"	"Marevan 3mg tablets (AMCo)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"8664"	"Heparin sodium 5000iu/ml Injection"	"Heparin"	"5000iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"9140"	"Dalteparin sodium 10,000units/4ml solution for injection ampoules"	"Dalteparin"	"2500unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Dalteparin"
"9593"	"Dalteparin 25000iu/ml injection solution"	"Dalteparin"	"25000 Iu/ml"	"Injection Solution"	"Intramuscular"	"02080100"	"Dalteparin"
"9605"	"Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"9610"	"Tinzaparin 20000 iu/ml Injection"	"Tinzaparin"	"20000 Iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Tinzaparin"
"9640"	"Tinzaparin 10000 IU/ml Injection"	"Tinzaparin"	"10000 Iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Tinzaparin"
"10002"	"Dalteparin 10000iu/1ml injection solution"	"Dalteparin"	"10000 Iu/1ml"	"Injection Solution"	"Subcutaneous Injection"	"02080100"	"Dalteparin"
"10004"	"Clexane 80mg/0.8ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"10044"	"Dalteparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"10072"	"Fragmin 10,000units/0.4ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"10170"	"Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"10194"	"Dalteparin sodium 12,500units/0.5ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"10240"	"Tinzaparin sodium 14,000units/0.7ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"10449"	"HEPARIN CALCIUM B.P. INJ"	"Heparin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Heparin"
"10469"	"Canusal 200units/2ml patency solution ampoules (Wockhardt UK Ltd)"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"00000000"	"Heparin"
"10532"	"Minihep calcium 5000iu/0.2ml Injection (LEO Pharma)"	"Heparin"	"5000iu/0.2ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"10533"	"Calciparine 25,000iu/ml Injection (Sanofi-Synthelabo Ltd)"	"Heparin"	"25,000iu/ml"	"Injection"	"Subcutaneous Injection"	"02080100"	"Heparin"
"10560"	"WARFARIN 10 MG TAB"	"Warfarin"	NA	"Tablet"	"Oral"	"00000000"	"Warfarin"
"10819"	"HEPARIN SODIUM 100 IU/ML INJ"	"Heparin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Heparin"
"10936"	"HEPARIN SODIUM B.P. 5000 I/U INJ"	"Heparin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Heparin"
"11117"	"Hep-flush 100iu/ml Oral solution (LEO Pharma)"	"Heparin"	"100iu/ml"	"Oral Solution"	"Oral"	"02080100"	"Heparin"
"11372"	"Heparin 100iu/ml Flush solution"	"Heparin"	"100iu/ml"	"Flush Solution"	NA	"02080100"	"Heparin"
"12681"	"Heparin calcium 25,000iu/ml Injection"	"Heparin"	"25,000iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"12974"	"Clexane 150mg/ml Injection (Aventis Pharma)"	"Enoxaparin"	"150mg/ml"	"Injection"	"Subcutaneous Injection"	"02080100"	"Enoxaparin"
"13058"	"Enoxaparin 150mg/ml injection"	"Enoxaparin"	"150mg/ml"	"Injection"	"Intramuscular"	"02080100"	"Enoxaparin"
"13097"	"Clexane 20mg/0.2ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"13210"	"Enoxaparin sodium 80mg/0.8ml solution for injection pre-filled syringes"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"13270"	"Enoxaparin sodium 120mg/0.8ml solution for injection pre-filled syringes"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Enoxaparin"
"13348"	"Marevan 5mg tablets (AMCo)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"13501"	"Dindevan 50mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Phenindione"	"50mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"13502"	"Dindevan 10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Phenindione"	"10mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"13503"	"Phenindione 50mg tablets"	"Phenindione"	"50mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"13504"	"Phenindione 25mg tablets"	"Phenindione"	"25mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"13505"	"Phenindione 10mg tablets"	"Phenindione"	"10mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"13568"	"Heparin sodium 25,000iu/ml Subcutaneous injection"	"Heparin"	"25,000iu/ml"	"Subcutaneous Injection"	"Intramuscular"	"02080100"	"Heparin"
"13644"	"Dindevan 25mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Phenindione"	"25mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"13663"	"Innohep 20000 iu/ml Injection (LEO Pharma)"	"Tinzaparin"	"20000 Iu/ml"	"Injection"	"Subcutaneous Injection"	"02080100"	"Tinzaparin"
"13716"	"Heparin sodium 25,000iu/ml Injection"	"Heparin"	"25,000iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"14099"	"Clexane forte 150mg/ml Injection (Aventis Pharma)"	"Enoxaparin"	"150mg/ml"	"Injection"	"Subcutaneous Deep Injection"	"02080100"	"Enoxaparin"
"14110"	"Tinzaparin sodium 10,000units/0.5ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"14138"	"Enoxaparin sodium 60mg/0.6ml solution for injection pre-filled syringes"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"14212"	"Tinzaparin sodium 3,500units/0.35ml solution for injection pre-filled syringes"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"02080100"	"Tinzaparin"
"14308"	"Tinzaparin sodium 18,000units/0.9ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"14341"	"Clexane Forte 150mg/1ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Enoxaparin"
"14788"	"Innohep 10,000units/0.5ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"14794"	"Monoparin 1000iu/ml Injection (C P Pharmaceuticals Ltd)"	"Heparin"	"1000iu/ml"	"Injection"	"Intravenous Injection"	"02080100"	"Heparin"
"14851"	"Tinzaparin sodium 4,500units/0.45ml solution for injection pre-filled syringes"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Tinzaparin"
"14891"	"Dalteparin sodium 18,000units/0.72ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"15006"	"Sinthrome 4mg Tablet (Alliance Pharmaceuticals Ltd)"	"Acenocoumarol"	"4mg"	"Tablet"	"Oral"	"02080200"	"Acenocoumarol"
"15293"	"Heparin sodium 5000iu/ml pre-filled Injection"	"Heparin"	"5000iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"15376"	"Acenocoumarol 4mg tablets"	"Acenocoumarol"	"4mg"	"Tablets"	"Oral"	"02080200"	"Acenocoumarol"
"15709"	"Tinzaparin 3500 IU/0.3ml Sterile solution"	"Tinzaparin"	"3500 Iu/0.3ml"	"Sterile Solution"	NA	"02080100"	"Tinzaparin"
"16061"	"Innohep 3,500units/0.35ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"02080100"	"Tinzaparin"
"16476"	"Fragmin 18,000units/0.72ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"16530"	"Fragmin 12,500units/0.5ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"17004"	"Tinzaparin sodium 20,000units/2ml solution for injection vials"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Tinzaparin"
"17007"	"Tinzaparin sodium 2,500units/0.25ml solution for injection pre-filled syringes"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"02080100"	"Tinzaparin"
"17049"	"Innohep 18,000units/0.9ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"17216"	"HEPARIN SOD. 25000U/ML 0.2ML PF INJ"	"Heparin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Heparin"
"17484"	"Innohep 10,000 IU/ml Injection (LEO Pharma)"	"Tinzaparin"	"10,000 Iu/ml"	"Injection"	"Subcutaneous Injection"	"02080100"	"Tinzaparin"
"17592"	"Innohep 4,500units/0.45ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Tinzaparin"
"17664"	"Clexane 60mg/0.6ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"17791"	"Innohep 5000iu/5ml Sterile solution (LEO Pharma)"	"Tinzaparin"	"5000iu/5ml"	"Sterile Solution"	NA	"02080100"	"Tinzaparin"
"17965"	"Marevan 500microgram tablets (AMCo)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"18209"	"Fragmin 7,500units/0.3ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"18732"	"Innohep 3500 iu/0.3ml Sterile solution (LEO Pharma)"	"Tinzaparin"	"3500 Iu/0.3ml"	"Sterile Solution"	NA	"02080100"	"Tinzaparin"
"19280"	"Innohep 14,000units/0.7ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"19337"	"Multiparin 125,000units/5ml solution for injection vials (Wockhardt UK Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"19486"	"Dalteparin sodium 7,500units/0.3ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"19989"	"Tinzaparin sodium 40,000units/2ml solution for injection vials"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"20010"	"Uniparin calcium 25,000iu/ml Subcutaneous injection (C P Pharmaceuticals Ltd)"	"Heparin"	"25,000iu/ml"	"Subcutaneous Injection"	"Intramuscular"	"02080100"	"Heparin"
"20024"	"Uniparin forte 10,000 iu/0.4ml Subcutaneous injection (C P Pharmaceuticals Ltd)"	"Heparin"	"10,000 Iu/0.4ml"	"Subcutaneous Injection"	"Intramuscular"	"02080100"	"Heparin"
"20028"	"Multiparin 5,000units/5ml solution for injection vials (Wockhardt UK Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"20029"	"Multiparin 25,000units/5ml solution for injection vials (Wockhardt UK Ltd)"	"Heparin"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"20153"	"Enoxaparin sodium 150mg/1ml solution for injection pre-filled syringes"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Enoxaparin"
"20154"	"Enoxaparin sodium 100mg/1ml solution for injection pre-filled syringes"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"20754"	"WARFARIN"	"Warfarin"	NA	NA	NA	"00000000"	"Warfarin"
"21233"	"Innohep 20,000units/2ml solution for injection vials (LEO Pharma)"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Tinzaparin"
"21316"	"Innohep 40,000units/2ml solution for injection vials (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"21365"	"Uniparin 5000iu/0.2ml Injection (C P Pharmaceuticals Ltd)"	"Heparin"	"5000iu/0.2ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"21490"	"Monoparin 5000iu/ml Injection (C P Pharmaceuticals Ltd)"	"Heparin"	"5000iu/ml"	"Injection"	"Subcutaneous Injection"	"02080100"	"Heparin"
"21518"	"Monoparin 25,000iu/ml Injection (C P Pharmaceuticals Ltd)"	"Heparin"	"25,000iu/ml"	"Injection"	"Subcutaneous Injection"	"02080100"	"Heparin"
"22428"	"Dalteparin sodium 100,000units/4ml solution for injection vials"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"23078"	"Warfarin 1mg Tablet (WB Pharmaceuticals Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"23570"	"Fondaparinux sodium 7.5mg/0.6ml solution for injection pre-filled syringes"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Fondaparinux"
"23573"	"Fondaparinux sodium 5mg/0.4ml solution for injection pre-filled syringes"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Fondaparinux"
"23579"	"Fondaparinux sodium 2.5mg/0.5ml solution for injection pre-filled syringes"	"Fondaparinux"	"5mg/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"02080100"	"Fondaparinux"
"24809"	"HEPARIN SODIUM/HYDROCORTISONE ACETATE CRE"	"Heparin"	NA	NA	NA	"00000000"	"Heparin"
"24896"	"Heparin low molecular weight 2500 iu/0.2ml Sterile solution"	"Dalteparin/Heparin"	"2500iu/0.2ml"	"Sterile Solution"	NA	"02080100"	"Dalteparin/Heparin"
