"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"anticoagulant"
"36196"	"Heparin sodium 1,000units/1ml solution for injection ampoules"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"36911"	"Fragmin 10,000units/1ml solution for injection ampoules (Pfizer Ltd)"	"Dalteparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Dalteparin"
"36989"	"Fragmin 10,000units/1ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"37086"	"Enoxaparin sodium 300mg/3ml solution for injection vials"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"37131"	"Heparin sodium 25,000units/5ml solution for injection vials"	"Heparin"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"37613"	"Heparin sodium 10,000units/10ml solution for injection ampoules"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"37616"	"Heparin sodium 10 unit/ml Solution"	"Heparin"	"10 Unit/ml"	"Solution"	NA	"02080100"	"Heparin"
"37678"	"Heparin sodium 5,000units/0.2ml solution for injection ampoules"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"37704"	"Minihep 25,000iu/ml Subcutaneous preparation (LEO Pharma)"	"Heparin"	"25,000iu/ml"	"Subcutaneous Preparation"	NA	"02080100"	"Heparin"
"38041"	"Warfarin sodium 5mg/ml oral suspension"	"Warfarin"	"5mg/5ml"	"Oral Suspension"	"Oral"	"02080200"	"Warfarin"
"38044"	"Warfarin 5mg/5ml oral solution"	"Warfarin"	"1mg/1ml"	"Oral solution"	"Oral"	"02080200"	"Warfarin"
"38327"	"Arixtra 7.5mg/0.6ml solution for injection pre-filled syringes (Aspen Pharma Trading Ltd)"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Fondaparinux"
"38536"	"Fondaparinux sodium 1.5mg/0.3ml solution for injection pre-filled syringes"	"Fondaparinux"	"5mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Fondaparinux"
"38839"	"Arixtra 5mg/0.4ml solution for injection pre-filled syringes (Aspen Pharma Trading Ltd)"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Fondaparinux"
"39119"	"Rivaroxaban 10mg tablets"	"Rivaroxaban"	"10mg"	"Tablet"	"Oral"	"02080200"	"Rivaroxaban"
"39444"	"Dabigatran etexilate 110mg capsules"	"Dabigatran etexilate"	"110mg"	"Capsule"	"Oral"	"02080200"	"Dabigatran etexilate"
"39503"	"Dabigatran etexilate 75mg capsules"	"Dabigatran etexilate"	"75mg"	"Capsule"	"Oral"	"02080200"	"Dabigatran etexilate"
"39639"	"Xarelto 10mg tablets (Bayer Plc)"	"Rivaroxaban"	"10mg"	"Tablet"	"Oral"	"02080200"	"Rivaroxaban"
"39755"	"Pradaxa 110mg capsules (Boehringer Ingelheim Ltd)"	"Dabigatran etexilate"	"110mg"	"Capsule"	"Oral"	"02080200"	"Dabigatran etexilate"
"39866"	"Warfarin 1mg tablets (Almus Pharmaceuticals Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"40143"	"Warfarin 500microgram tablets (A A H Pharmaceuticals Ltd)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"40715"	"Heparin 100iu/ml Oral solution (LEO Pharma)"	"Heparin"	"100iu/ml"	"Oral Solution"	"Oral"	"02080100"	"Heparin"
"42106"	"Unihep leo 25,000iu/ml Injection (LEO Pharma)"	"Heparin"	"25,000iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"42474"	"Pradaxa 75mg capsules (Boehringer Ingelheim Ltd)"	"Dabigatran etexilate"	"75mg"	"Capsule"	"Oral"	"02080200"	"Dabigatran etexilate"
"42853"	"Heparin calcium 25,000iu/ml Injection"	"Heparin"	"25,000iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"43407"	"Warfarin 3mg tablets (A A H Pharmaceuticals Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"43408"	"Warfarin 1mg tablets (A A H Pharmaceuticals Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"43409"	"Warfarin 5mg tablets (A A H Pharmaceuticals Ltd)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"43655"	"Warfarin sodium oral solution"	"Warfarin"	NA	"Oral Liquid"	"Oral"	"02080200"	"Warfarin"
"44238"	"Heparin 50 iu/5ml Flush solution (Wockhardt UK Ltd)"	"Heparin"	"50 Iu/5ml"	"Flush Solution"	NA	"02080100"	"Heparin"
"44491"	"Heparin sodium 125,000units/5ml solution for injection vials"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"44866"	"Warfarin sodium 1mg/ml oral supension SF"	"Warfarin"	"1mg/ml"	"Oral Suspension Sugar-free"	"Oral"	"02080200"	"Warfarin"
"45911"	"Arixtra 1.5mg/0.3ml solution for injection pre-filled syringes (Aspen Pharma Trading Ltd)"	"Fondaparinux"	"5mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Fondaparinux"
"46101"	"Heparin sodium 50units/5ml patency solution ampoules"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"71120000"	"Heparin"
"46278"	"Heparin sodium 200units/2ml patency solution ampoules"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"71120000"	"Heparin"
"46632"	"Dabigatran etexilate 150mg capsules"	"Dabigatran etexilate"	"150mg"	"Capsule"	"Oral"	"02080200"	"Dabigatran etexilate"
"46678"	"Pradaxa 150mg capsules (Boehringer Ingelheim Ltd)"	"Dabigatran etexilate"	"150mg"	"Capsule"	"Oral"	"02080200"	"Dabigatran etexilate"
"46924"	"Phenindione 10mg tablets (AMCo)"	"Phenindione"	"10mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"47207"	"Rivaroxaban 20mg tablets"	"Rivaroxaban"	"20mg"	"Tablet"	"Oral"	"00000000"	"Rivaroxaban"
"47353"	"Rivaroxaban 15mg tablets"	"Rivaroxaban"	"15mg"	"Tablet"	"Oral"	"00000000"	"Rivaroxaban"
"47397"	"Heparin sodium 25,000units/5ml solution for injection ampoules"	"Heparin"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"47423"	"Heparin sodium 200units/2ml I.V. flush solution ampoules (LEO Pharma)"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"71120000"	"Heparin"
"47566"	"Apixaban 2.5mg tablets"	"Apixaban"	"2.5mg"	"Tablet"	"Oral"	"02080200"	"Apixaban"
"47633"	"Heparin sodium 200units/2ml I.V. flush solution ampoules (Wockhardt UK Ltd)"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"71120000"	"Heparin"
"47646"	"Heparin sodium 50units/5ml I.V. flush solution ampoules (Wockhardt UK Ltd)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"71120000"	"Heparin"
"47925"	"Xarelto 20mg tablets (Bayer Plc)"	"Rivaroxaban"	"20mg"	"Tablet"	"Oral"	"00000000"	"Rivaroxaban"
"47944"	"Warfarin 1mg tablets (Actavis UK Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"48070"	"Warfarin sodium tablets"	"Warfarin"	NA	"Tablets"	"Oral"	"02080200"	"Warfarin"
"48134"	"Xarelto 15mg tablets (Bayer Plc)"	"Rivaroxaban"	"15mg"	"Tablet"	"Oral"	"00000000"	"Rivaroxaban"
"48673"	"Dalteparin sodium 10,000units/1ml solution for injection ampoules"	"Dalteparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Dalteparin"
"48869"	"Warfarin 1mg/ml oral suspension sugar free"	"Warfarin"	"1mg/1ml"	"Oral suspension"	"Oral"	"02080200"	"Warfarin"
"48966"	"Rivaroxaban 15mg tablets"	"Rivaroxaban"	"15mg"	"Tablet"	"Oral"	"02080200"	"Rivaroxaban"
"49578"	"Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes"	"Dalteparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"50000"	"Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"	"Warfarin"	"1mg/1ml"	"Oral suspension"	"Oral"	"02080200"	"Warfarin"
"50391"	"Fragmin 18,000units/0.72ml solution for injection pre-filled syringes (Waymade Healthcare Plc)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"50994"	"Heparin sodium 500units/500ml infusion bags"	"Heparin"	"1unit/1ml"	"Infusion"	"Intravenous"	"02080100"	"Heparin"
"51006"	"Clexane 80mg/0.8ml solution for injection pre-filled syringes (DE Pharmaceuticals)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"51350"	"Fragmin 15,000units/0.6ml solution for injection pre-filled syringes (Waymade Healthcare Plc)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"51484"	"Warfarin 1mg tablets (Bristol Laboratories Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"51496"	"Warfarin 1mg tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"51509"	"Warfarin 1mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"51642"	"Clexane 100mg/1ml solution for injection pre-filled syringes (Lexon (UK) Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"52004"	"Fragmin 12,500units/0.5ml solution for injection pre-filled syringes (Waymade Healthcare Plc)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"52841"	"Heparin calcium 5,000units/0.2ml solution for injection ampoules"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"02080100"	"Heparin"
"53350"	"Heparin sodium 1,000units/500ml infusion bags"	"Heparin"	"2unit/1ml"	"Infusion"	"Intravenous"	"02080100"	"Heparin"
"53740"	"Eliquis 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Apixaban"	"2.5mg"	"Tablet"	"Oral"	"02080200"	"Apixaban"
"53745"	"Warfarin 3mg tablets (Bristol Laboratories Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"53752"	"Warfarin 1mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"54066"	"Apixaban 5mg tablets"	"Apixaban"	"5mg"	"Tablet"	"Oral"	"02080200"	"Apixaban"
"54234"	"Heparin sodium 1,000units/500ml infusion Viaflex bags (Baxter Healthcare Ltd)"	"Heparin"	"2unit/1ml"	"Infusion"	"Intravenous"	"02080100"	"Heparin"
"54451"	"Rivaroxaban 20mg tablets"	"Rivaroxaban"	"20mg"	"Tablet"	"Oral"	"02080200"	"Rivaroxaban"
"54892"	"Warfarin 1mg/ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)"	"Warfarin"	"1mg/1ml"	"Oral suspension"	"Oral"	"02080200"	"Warfarin"
"54927"	"Heparin sodium 2,000units/1litre infusion bags"	"Heparin"	"2unit/1ml"	"Infusion"	"Intravenous"	"02080100"	"Heparin"
"54946"	"Warfarin 3mg tablets (Actavis UK Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"55096"	"Fragmin 5,000units/0.2ml solution for injection pre-filled syringes (Waymade Healthcare Plc)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"55316"	"Warfarin 3mg/5ml oral suspension"	"Warfarin"	"600microgram/1ml"	"Oral suspension"	"Oral"	"02080200"	"Warfarin"
"55490"	"Heparin sodium 10,000 iu/ml Injection"	"Heparin"	"10,000 Iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"55565"	"Clexane 100mg/1ml solution for injection pre-filled syringes (DE Pharmaceuticals)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"55577"	"Sinthrome 1mg tablets (Lexon (UK) Ltd)"	"Acenocoumarol"	"1mg"	"Tablet"	"Oral"	"02080200"	"Acenocoumarol"
"55604"	"Orgaran 750units/0.6ml solution for injection ampoules (Aspen Pharma Trading Ltd)"	"Danaparoid"	"1250unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Danaparoid"
"55805"	"Bemiparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Bemiparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"00000000"	"Bemiparin"
