"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"1675891000000112"	3822	"66X3"	"66X3.00"	"lipid disorder initial assessment"	"473212003"	"2956269014"	1
"1675961000000112"	6895	"66X4"	"66X4.00"	"lipid disorder follow up assessment"	"473211005"	"2956266019"	1
"1788141000006110"	7	"EMISNQLI35"	NA	"lipid lowering therapy discussed"	"1788141000006106"	"1788141000006110"	32
"1877381000006114"	2	"EMISNQHY18"	NA	"hyperlipidaemia clinical management plan no longer in place"	"1877381000006105"	"1877381000006114"	32
"1946711000006113"	189722	"8OAK"	"8OAK.00"	"provision of written information about diabetes and high cholesterol"	"715879000"	"3304025010"	32
"2135731000000117"	165007	"8CP6"	"8CP6.00"	"discussion about lipid lowering therapy"	"819911000000108"	"2135731000000117"	32
"2241371000000117"	3413	"1W2"	"1W2..00"	"probable familial hypercholesterolaemia"	"867261000000106"	"2241371000000117"	27
"2558651000006111"	1	"^ESCTHY255865"	NA	"hyperlipoproteinaemia"	"3744001"	"486720017"	31
"2716211000006115"	755	"^ESCTHY271621"	NA	"hypercholesterolemia"	"13644009"	"23283015"	32
"2716221000006111"	326	"^ESCTHI271622"	NA	"high cholesterol"	"13644009"	"3035252016"	32
"2743431000006112"	12	"^ESCTFA274343"	NA	"familial hypoalphalipoproteinaemia"	"15346004"	"477325012"	32
"3053091000006112"	3	"^ESCTFA305309"	NA	"familial type 5 hyperlipoproteinaemia"	"34349009"	"485814015"	32
"3055881000006119"	25	"^ESCTFA305588"	NA	"familial hypertriglyceridaemia"	"34528009"	"213740012"	31
"3055891000006116"	1	"^ESCTFA305589"	NA	"familial hypertriglyceridemia"	"34528009"	"57626015"	31
"3281131000006114"	5	"^ESCTDI328113"	NA	"disorder of lipoprotein and/or lipid metabolism"	"48286001"	"80440019"	31
"3281141000006116"	1	"^ESCTDI328114"	NA	"disorder of lipid and lipoprotein metabolism"	"48286001"	"1230572012"	31
"3406761000006110"	174	"^ESCTHY340676"	NA	"hyperlipidemia"	"55822004"	"92826017"	32
"3406771000006115"	1	"^ESCTLI340677"	NA	"lipidemia"	"55822004"	"92829012"	32
"3406781000006117"	3	"^ESCTHL340678"	NA	"hld - hyperlipidemia"	"55822004"	"497409010"	32
"3406791000006119"	2	"^ESCTHL340679"	NA	"hld - hyperlipidaemia"	"55822004"	"497410017"	32
"3406801000006118"	1	"^ESCTLI340680"	NA	"lipidaemia"	"55822004"	"497412013"	32
"3441411000006115"	1	"^ESCTLI344141"	NA	"lipid lowering drug"	"57952007"	"498025010"	31
"3496511000006115"	29	"^ESCTHY349651"	NA	"hypocholesterolaemia"	"61336008"	"498983015"	31
"3496521000006111"	6	"^ESCTHY349652"	NA	"hypocholesterolemia"	"61336008"	"101906015"	31
"3496541000006116"	5	"^ESCTHY349654"	NA	"hypocholesteraemia"	"61336008"	"498984014"	31
"3525901000006119"	43	"^ESCTXA352590"	NA	"xanthomatosis"	"63103006"	"104893019"	31
"3528561000006119"	4	"^ESCTCE352856"	NA	"cerebrotendinous xanthomatosis"	"63246000"	"105136019"	31
"3576121000006115"	11	"^ESCTVE357612"	NA	"verruciform xanthoma"	"66174008"	"109890019"	31
"3636311000006119"	19	"^ESCTXA363631"	NA	"xanthoma tendinosum"	"69880002"	"116055015"	32
"3729221000006117"	5	"^ESCTXA372922"	NA	"xanthomatous deposition"	"75594004"	"125551010"	31
"3729241000006112"	10	"^ESCTXA372924"	NA	"xanthoma"	"75594004"	"125555018"	31
"4061051000006113"	9	"^ESCTLI406105"	NA	"lipidaemia retinalis"	"95692001"	"512252017"	31
"4428041000006119"	1	"^ESCTEN442804"	NA	"endogenous hyperlipidaemia"	"129589009"	"208387012"	31
"4428121000006110"	3	"^ESCTMI442812"	NA	"mixed hypercholesterolaemia and hypertriglyceridaemia"	"129591001"	"208395011"	31
"4428131000006113"	1	"^ESCTMI442813"	NA	"mixed hypercholesterolemia and hypertriglyceridemia"	"129591001"	"208394010"	31
"4534341000006117"	14931	"^ESCTCH453434"	NA	"cholesterol-lowering diet"	"160672004"	"250452018"	17
"4759641000006114"	29	"^ESCTHY475964"	NA	"hypoalphalipoproteinaemia"	"190785000"	"293304017"	32
"4950911000006117"	338	"^ESCTLI495091"	NA	"lipid-lowering diet"	"226115004"	"339702012"	31
"4950921000006113"	64	"^ESCTTR495092"	NA	"triglyceride-lowering diet"	"226116003"	"339703019"	31
"5116191000006112"	38	"^ESCTFA511619"	NA	"familial hyperlipoproteinaemia"	"238038003"	"356792012"	31
"5116221000006117"	4	"^ESCTFA511622"	NA	"familial combined hyperlipidemia"	"238040008"	"356799015"	32
"5116271000006116"	2	"^ESCTFA511627"	NA	"familial hyperlipoproteinaemia type iib"	"238040008"	"356805014"	32
"5116291000006115"	14	"^ESCTFR511629"	NA	"fredrickson type iib hyperlipoproteinaemia"	"238040008"	"356807018"	32
"5116901000006115"	2282	"^ESCTPR511690"	NA	"primary hypercholesterolaemia"	"238076009"	"356866013"	31
"5116911000006117"	1	"^ESCTPR511691"	NA	"primary hypercholesterolemia"	"238076009"	"356865012"	31
"5116951000006116"	73	"^ESCTPO511695"	NA	"polygenic hypercholesterolemia"	"238077000"	"356870017"	32
"5116961000006119"	162	"^ESCTFA511696"	NA	"familial hypercholesterolaemia - homozygous"	"238078005"	"356872013"	32
"5116991000006110"	1	"^ESCTFA511699"	NA	"familial homozygous hypercholesterolaemia"	"238078005"	"3037302012"	32
"5117001000006119"	1525	"^ESCTFA511700"	NA	"familial hypercholesterolaemia - heterozygous"	"238079002"	"356873015"	32
"5117011000006116"	9	"^ESCTFA511701"	NA	"familial hypercholesterolemia - heterozygous"	"238079002"	"356874014"	32
"5117061000006118"	1	"^ESCTFA511706"	NA	"familial hypercholesterolaemia due to genetic defect of apolipoprotein b-100"	"238081000"	"1736451000000119"	32
"5117071000006113"	4047	"^ESCTSE511707"	NA	"secondary hypercholesterolaemia"	"238082007"	"356880018"	32
"5117091000006114"	43	"^ESCTPR511709"	NA	"primary hypertriglyceridaemia"	"238083002"	"356881019"	31
"5117131000006111"	20	"^ESCTFR511713"	NA	"fredrickson type iv hyperlipoproteinaemia"	"238085009"	"356887015"	32
"5117221000006115"	22	"^ESCTSE511722"	NA	"secondary hypertriglyceridaemia"	"238087001"	"356895016"	31
"5117241000006110"	26	"^ESCTPR511724"	NA	"primary combined hyperlipidaemia"	"238088006"	"356896015"	31
"5117261000006114"	2	"^ESCTPR511726"	NA	"primary mixed hyperlipidaemia"	"238088006"	"356898019"	31
"5117271000006119"	4	"^ESCTPR511727"	NA	"primary combined hyperlipidemia"	"238088006"	"356899010"	31
"5117281000006116"	250	"^ESCTSE511728"	NA	"secondary combined hyperlipidaemia"	"238089003"	"356903015"	32
"5117321000006110"	12	"^ESCTHY511732"	NA	"hypolipidaemia"	"238090007"	"356904014"	31
"5117331000006113"	2	"^ESCTHY511733"	NA	"hypolipidemia"	"238090007"	"356905010"	31
"5128431000006112"	3	"^ESCTER512843"	NA	"eruptive xanthoma"	"238952003"	"358113015"	31
"5128451000006117"	64	"^ESCTTU512845"	NA	"tuberous xanthoma"	"238954002"	"358115010"	32
"5312921000006118"	1	"^ESCTPX531292"	NA	"pxe - pseudoxanthoma elasticum"	"252246005"	"375686017"	32
"5349691000006110"	1	"^ESCTFI534969"	NA	"fibrous xanthoma of skin"	"254750001"	"1784995010"	32
"5349751000006114"	9	"^ESCTVE534975"	NA	"verruciform xanthoma of skin"	"254756007"	"379455014"	31
"5500431000006111"	6	"^ESCTPU550043"	NA	"pure hypercholesterolemia"	"267432004"	"398853012"	32
"5500471000006114"	2	"^ESCTMU550047"	NA	"multiple-type hyperlipidaemia"	"267434003"	"398857013"	32
"5500491000006110"	25	"^ESCTMI550049"	NA	"mixed hyperlipidemia"	"267434003"	"398859011"	32
"5500571000006113"	27	"^ESCTLI550057"	NA	"lipoprotein deficiency disorder"	"267436001"	"398869017"	32
"5575101000006110"	1	"^ESCTHY557510"	NA	"hyperlipoproteinaemia, type i"	"275598004"	"411590019"	31
"5867281000006112"	15	"^ESCTFA586728"	NA	"familial multiple lipoprotein-type hyperlipidaemia"	"299465007"	"440398014"	32
"5912411000006113"	48	"^ESCTHY591241"	NA	"hypertriglyceridemia"	"302870006"	"444855011"	32
"6003981000006113"	14	"^ESCTCH600398"	NA	"cholesterol reduction programme status"	"310878004"	"454399019"	31
"6347381000006110"	119	"^ESCTDY634738"	NA	"dyslipidemia"	"370992007"	"1209706018"	32
"6347391000006113"	4	"^ESCTHI634739"	NA	"high blood cholesterol/triglycerides"	"370992007"	"3035380017"	32
"6515871000006116"	461	"^ESCTRE651587"	NA	"referral to general practitioner for lipid management"	"390883000"	"2693471011"	40
"6516361000006110"	52	"^ESCTDI651636"	NA	"did not attend cholesterol clinic"	"390924009"	"2470343019"	37
"6594651000006110"	223	"^ESCTFR659465"	NA	"fredrickson type iia hyperlipoproteinaemia"	"397915002"	"1773163011"	32
"6596631000006112"	95	"^ESCTFA659663"	NA	"familial hypercholesterolemia"	"398036000"	"1774472018"	32
"6596691000006111"	6	"^ESCTLD659669"	NA	"ldl - low density lipoprotein receptor disorder"	"398036000"	"1786060011"	32
"6611881000006114"	75	"^ESCTFA661188"	NA	"familial type 3 hyperlipoproteinaemia"	"398796005"	"1773258015"	32
"6633591000006119"	5	"^ESCTJU663359"	NA	"juvenile xanthoma"	"400031009"	"1787073019"	32
"6665911000006113"	3	"^ESCTPR666591"	NA	"primary \"polygenic\" combined hyperlipidaemia"	"402474007"	"1773632011"	31
"6669241000006116"	5687	"^ESCTSE666924"	NA	"secondary hyperlipidaemia"	"402727002"	"1773664016"	32
"6669251000006119"	1	"^ESCTSE666925"	NA	"secondary hyperlipidemia"	"402727002"	"1774950014"	32
"6670011000006112"	1	"^ESCTPR667001"	NA	"primary genetic hyperlipidaemia"	"402785008"	"1773669014"	31
"6687581000006118"	1	"^ESCTAU668758"	NA	"autosomal recessive pseudoxanthoma elasticum"	"403812000"	"1782820011"	31
"6687861000006113"	231	"^ESCTFA668786"	NA	"familial hypercholesterolaemia due to heterozygous ldl receptor mutation"	"403829002"	"1773757014"	32
"6687901000006118"	49	"^ESCTFA668790"	NA	"familial hypercholesterolaemia due to homozygous ldl receptor mutation"	"403830007"	"1773758016"	32
"6687941000006116"	30	"^ESCTFA668794"	NA	"familial hypercholesterolaemia due to genetic defect of apolipoprotein b"	"403831006"	"1773759012"	32
