"medcodeid"	"readterm"
"1978881000006113"	"Sentinel report submitted by patient"
"1979371000006112"	"Patient advised to submit a sentinel report"
"1979501000006111"	"Weight management follow-up"
"1979511000006114"	"Weight management 6 month follow-up"
"1979521000006118"	"Weight management 12 month follow-up"
"1979531000006115"	"Lost to weight management follow-up"
"1979961000006118"	"Weight management 3 month follow-up"
"1991711000006112"	"Reason for influenza vaccine - BMI 40+"
"2000621000006111"	"Date for weight management intervention offered to patient"
"2010161000006112"	"Weight reduction drug therapy - orlistat"
"2173321000000116"	"Referral to residential weight management programme"
"2196071000000116"	"Baseline body mass index"
"2265731000000113"	"Seen in weight management clinic"
"2303211000000117"	"Referral to multidisciplinary obesity clinic"
"2310101000000115"	"Obesity multidisciplinary case review"
"2316211000000111"	"Unintentional weight gain"
"2326311000000114"	"Intensive weight management programme commenced"
"2326451000000118"	"Intensive weight management programme ended"
"2326491000000114"	"Intensive weight management programme declined"
"2350241000000116"	"Obese class I (body mass index 30.0 - 34.9)"
"2350261000000115"	"Obese class II (body mass index 35.0 - 39.9)"
"2350501000000116"	"Anti-obesity drug therapy commenced"
"2350541000000118"	"Anti-obesity drug therapy discontinued"
"2423851000000119"	"Telehealth obesity monitoring"
"2636651000000112"	"Unsuitable for body weight measurement"
"2642891000006110"	"Weight gain"
"2714971000000116"	"Signposting to weight management service"
"2934311000006118"	"Weight"
"3044831000006118"	"Weight maintenance regimen"
"3070611000006119"	"Normal BMI (body mass index)"
"3087271000006119"	"Poor weight gain"
"3087281000006116"	"Not putting on weight"
"3087291000006118"	"Not gaining weight"
"3203281000006116"	"Normal weight"
"3484791000006113"	"Weight: body mass"
"3484801000006114"	"BMI - Body mass index"
"3952531000006117"	"Weight loss"
"3976301000006116"	"Heavy (weight)"
"4150511000006113"	"Weight finding"
"4544701000006119"	"Losing weight"
"4544711000006116"	"Progressive weight loss"
"4551811000006113"	"On examination - weight"
"4551821000006117"	"O/E - weight greater than 20% below ideal"
"4553701000006115"	"Body mass index 25-29 - overweight"
"4553721000006113"	"BMI 25-29 - overweight"
"4553741000006118"	"BMI 30+ - obesity"
"4628861000006112"	"Placenta weight"
"4636861000006111"	"Has seen dietitian - obesity"
"4935051000006112"	"Excessive weight gain"
"4937201000006110"	"Weight and body mass assessment procedure"
"4986261000006116"	"g/kg body weight"
"5117851000006111"	"Patient overweight"
"5192431000006115"	"Obesity monitoring status"
"5247511000006118"	"Underestimates own body weight"
"5253111000006115"	"Actions to lose weight"
"5253131000006114"	"Self-induced purging to lose weight"
"5253151000006119"	"Excessive exercising to lose weight"
"5255791000006110"	"Centripetal obesity"
"5255821000006118"	"Truncal obesity"
"5256141000006114"	"Weight fluctuates"
"5256251000006115"	"Patient underweight"
"5256261000006118"	"Weight trend"
"5256311000006113"	"Reference weight"
"5256391000006115"	"Weight for height"
"5256431000006114"	"Lean body mass"
"5273061000006119"	"Obese abdomen"
"5281441000006116"	"Weight of footwear"
"5451371000006112"	"Weight decreased"
"5451381000006110"	"Weight increased"
"5494311000006110"	"Weight-reducing diet education"
"5494331000006116"	"Dietary advice for weight reduction"
"5507901000006110"	"O/E - weight greater than 20% over ideal"
"5524151000006112"	"Weight stable"
"5526441000006112"	"Obese build"
"5533851000006117"	"Weights"
"5584001000006117"	"Weight velocity"
"5584101000006118"	"Preoccupation with body weight"
"5686501000006114"	"Obesity diet education"
"5742301000006117"	"Exercising to lose weight"
"5892201000006119"	"Observation of body mass index"
"5892251000006115"	"Body weight problem"
"5986631000006118"	"Excessive weight loss"
"5998281000006119"	"BMI less than 20"
"5999801000006118"	"Obesity monitoring invitation"
"6204841000006117"	"Weight reduction diet"
"6251131000006111"	"Weight gain (amount)"
"6251141000006118"	"Weight loss (amount)"
"6251151000006116"	"Body weight measure"
"6251171000006114"	"Usual body weight"
"6509591000006118"	"Weight maintenance regimen"
"6509811000006113"	"Weight gain regimen"
"6611061000006111"	"Referral to weight maintenance regimen service"
"6702411000006117"	"General appraisal of patient weight"
"6759901000006112"	"Refer to weight management program"
"6763391000006114"	"Body mass index 40+ - morbidly obese"
"6763401000006111"	"BMI (body mass index) 40+ - severely obese"
"6866991000006116"	"Obese"
"6997371000006111"	"Unexplained weight loss"
"7067191000006116"	"Recent weight loss"
"7068841000006116"	"Body mass index less than 16.5"
"7075901000006114"	"Recent weight gain"
"7098251000006115"	"Dietary education for weight gain"
"7116681000006115"	"Abnormal intentional weight loss"
"7297941000006116"	"Weight/weight ratio"
"7309791000006112"	"Dry body weight"
"7309801000006113"	"Dry weight"
