"term"	"Group"	"Umbrella"	"medcodeid"
"cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs"	"Cerebral ischaemia"	"Cerebrovascular disease"	"543141000006110"
"cerebrovascular accident care plan"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1773371000006117"
"cerebrovascular disease"	"Cerebrovascular disease"	"Cerebrovascular disease"	"104563015"
"cerebrovascular disease management"	"Cerebrovascular disease"	"Cerebrovascular disease"	"1857051000006118"
"cerebrovascular disease monitoring default"	"Cerebrovascular disease"	"Cerebrovascular disease"	"1855571000006112"
"cerebrovascular disease nos"	"Cerebrovascular disease"	"Cerebrovascular disease"	"300419019"
"cerebrovascular system anomalies"	"Cerebrovascular disease"	"Cerebrovascular disease"	"313568013"
"cortical haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"495394013"
"cva - cerebrovascular accident in the puerperium"	"Cerebral ischaemia"	"Cerebrovascular disease"	"605481000006110"
"cva unspecified"	"Cerebral ischaemia"	"Cerebrovascular disease"	"605501000006117"
"delivery of rehabilitation for stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"371641000000112"
"discharge from community stroke service"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2008601000006116"
"external capsule haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300276019"
"generalised ischaemic cerebrovascular disease nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300379011"
"h/o: cerebrovascular disease"	"Cerebrovascular disease"	"Cerebrovascular disease"	"451368019"
"h/o: stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2476091017"
"h/o: stroke in last year"	"Cerebral ischaemia"	"Cerebrovascular disease"	"451371010"
"haemorrhagic stroke monitoring"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"2548554013"
"infantile posthaemorrhagic hydrocephalus"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"474192015"
"infarction - cerebral"	"Cerebral ischaemia"	"Cerebrovascular disease"	"218511000000117"
"infarction - precerebral"	"Cerebral ischaemia"	"Cerebrovascular disease"	"345639010"
"infarction of basal ganglia"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2474651019"
"insufficiency - basilar artery"	"Cerebral ischaemia"	"Cerebrovascular disease"	"499739014"
"intermittent cerebral ischaemia"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300353019"
"internal capsule haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"496232015"
"intracerebral haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"12223101000006118"
"intracerebral haemorrhage nos"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300287010"
"late effects of cerebrovascular disease"	"Cerebrovascular disease"	"Cerebrovascular disease"	"300403014"
"lateral medullary syndrome"	"Vascular syndromes of brain in cerebrovascular diseases"	"Cerebrovascular disease"	"130375018"
"left sided cerebral infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"451133011"
"left sided cva"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300370010"
"lobar cerebral haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"345675012"
"middle cerebral artery syndrome"	"Vascular syndromes of brain in cerebrovascular diseases"	"Cerebrovascular disease"	"300362017"
"occlusion and stenosis of middle cerebral artery"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300395011"
"occlusive stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1212072018"
"other and unspecified intracranial haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300290016"
"other cerebral degeneration"	"Cerebral ischaemia"	"Cerebrovascular disease"	"35741000006114"
"other cerebral degeneration nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"297025010"
"other cerebral haemorrhage following injury nos"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"320897016"
"other cerebrovascular disease"	"Cerebrovascular disease"	"Cerebrovascular disease"	"300374018"
"other cerebrovascular disease nos"	"Cerebrovascular disease"	"Cerebrovascular disease"	"300402016"
"other cerebrovascular disease os"	"Cerebrovascular disease"	"Cerebrovascular disease"	"300401011"
"other precerebral artery occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300311015"
"other specified cerebrovascular anomaly"	"Cerebrovascular disease"	"Cerebrovascular disease"	"313576010"
"other specified cerebrovascular disease"	"Cerebrovascular disease"	"Cerebrovascular disease"	"300418010"
"other transient cerebral ischaemia"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300348012"
"pontine haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"503469016"
"posterior cerebral artery syndrome"	"Vascular syndromes of brain in cerebrovascular diseases"	"Cerebrovascular disease"	"300364016"
"precerebral arterial occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"395777014"
"precerebral artery occlusion nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300314011"
"puerperal cerebrovascular disorder - delivered"	"Cerebrovascular disease"	"Cerebrovascular disease"	"307880019"
"puerperal cerebrovascular disorder unspecified"	"Cerebrovascular disease"	"Cerebrovascular disease"	"307879017"
"pure motor lacunar syndrome"	"Vascular syndromes of brain in cerebrovascular diseases"	"Cerebrovascular disease"	"345655015"
"pure sensory lacunar syndrome"	"Vascular syndromes of brain in cerebrovascular diseases"	"Cerebrovascular disease"	"345658018"
"referral by stroke nurse specialist"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1863321000006113"
"referral to community stroke service"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2008521000006110"
"referral to stroke rehabilitation service"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1994761000006112"
"right sided cerebral infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"451134017"
"right sided cva"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300371014"
"ruptured berry aneurysm"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300242011"
"sequelae of cerebral infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300411016"
"sequelae of intracerebral haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300407010"
"sequelae of other nontraumatic intracranial haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"149551000006111"
"sequelae of subarachnoid haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300406018"
"sequelae/other + unspecified cerebrovascular diseases"	"Cerebrovascular disease"	"Cerebrovascular disease"	"149701000006118"
"small vessel cerebrovascular disease"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1130181000000113"
"stroke / transient ischaemic attack referral"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2469365010"
"stroke 6 month review"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1160471000000111"
"stroke annual review"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2126181000000114"
"stroke due to cerebral arterial occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"122361000006113"
"stroke group member"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2474668015"
"stroke in the puerperium"	"Cerebral ischaemia"	"Cerebrovascular disease"	"411416011"
"stroke monitoring"	"Cerebral ischaemia"	"Cerebrovascular disease"	"264499015"
"stroke monitoring invite 1"	"Cerebral ischaemia"	"Cerebrovascular disease"	"940061000006111"
"stroke monitoring invite 2"	"Cerebral ischaemia"	"Cerebrovascular disease"	"940071000006116"
"stroke monitoring invite 3"	"Cerebral ischaemia"	"Cerebrovascular disease"	"940081000006118"
"stroke self-management plan agreed"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2118011000000114"
"stroke unspecified"	"Cerebral ischaemia"	"Cerebrovascular disease"	"122401000006115"
"stroke/transient ischaemic attack monitoring administration"	"Cerebral ischaemia"	"Cerebrovascular disease"	"236331000000111"
"stroke/transient ischaemic attack monitoring first letter"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2534253014"
"stroke/transient ischaemic attack monitoring second letter"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2534212018"
"stroke/transient ischaemic attack monitoring third letter"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2534196010"
"subarachnoid haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"481028017"
"subarachnoid haemorrhage from anterior communicating artery"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"123481000006118"
"subarachnoid haemorrhage from basilar artery"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"123491000006115"
"subarachnoid haemorrhage from carotid siphon and bifurcation"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300244012"
"subarachnoid haemorrhage from middle cerebral artery"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"123511000006114"
"subarachnoid haemorrhage from posterior communicating artery"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"123521000006118"
"subarachnoid haemorrhage from vertebral artery"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300253017"
"subarachnoid haemorrhage nos"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300257016"
"subdural haemorrhage - nontraumatic"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300294013"
"tia clinical management plan no longer in place"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1877451000006113"
"transient cerebral ischaemia"	"Cerebral ischaemia"	"Cerebrovascular disease"	"395788015"
"transient cerebral ischaemia nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300349016"
"transient cerebral ischaemia nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"95931000006111"
"transient ischaemic attack"	"Cerebral ischaemia"	"Cerebrovascular disease"	"395783012"
"transient ischaemic attack clinical management plan"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1148331000000111"
"transient ischaemic attack monitoring"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1787251000006117"
"traumatic subdural haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"320835014"
"vertebral artery occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300309012"
"vertebral artery syndrome"	"Cerebral ischaemia"	"Cerebrovascular disease"	"58046010"
"vertebro-basilar insufficiency"	"Cerebral ischaemia"	"Cerebrovascular disease"	"67511000006117"
"vertebrobasilar insufficiency"	"Cerebral ischaemia"	"Cerebrovascular disease"	"106394016"
"h/o: cva/stroke"	NA	"Stroke"	"809421000006116"
"stroke/cva annual review"	NA	"Stroke"	"1780304018"
"ref to multidisciplinary stroke function improvement service"	NA	"Stroke"	"966981000006112"
"ref multidisciplinary stroke function improvement declined"	NA	"Stroke"	"1784651000006110"
"exception reporting: stroke quality indicators"	NA	"Stroke"	"138981000000113"
"excepted from stroke quality indicators: patient unsuitable"	NA	"Stroke"	"139081000000117"
"excepted from stroke quality indicators: informed dissent"	NA	"Stroke"	"139091000000115"
"stroke/transient ischaemic attack monitoring verbal invitati"	NA	"Stroke"	"986831000006115"
"stroke due to intracerebral haemorrhage"	NA	"Stroke"	"122371000006118"
"carotid territory transient ischaemic attack"	NA	"Stroke"	"345684012"
"stroke and cerebrovascular accident unspecified"	NA	"Stroke"	"405339016"
"cva - cerebrovascular accident unspecified"	NA	"Stroke"	"605491000006113"
"brain stem stroke syndrome"	NA	"Stroke"	"524511000006116"
"evacuation of intracerebral haematoma nec"	NA	"Stroke"	"265692011"
"endarterectomy and patch repair of carotid artery"	NA	"Stroke"	"641561000006113"
"endarterectomy of carotid artery nec"	NA	"Stroke"	"271534013"
"vascular parkinsonism"	NA	"Stroke"	"345121017"
"intracerebral haemorrhage"	NA	"Stroke"	"744901000006114"
"cva - cerebrovascular accid due to intracerebral haemorrhage"	NA	"Stroke"	"605471000006112"
"basal nucleus haemorrhage"	NA	"Stroke"	"503791000006114"
"subdural haemorrhage nos"	NA	"Stroke"	"2534198011"
"intracranial haemorrhage nos"	NA	"Stroke"	"300298011"
"stenosis of precerebral arteries"	NA	"Stroke"	"126301000006113"
"multiple and bilateral precerebral arterial occlusion"	NA	"Stroke"	"300310019"
"cva - cerebral artery occlusion"	NA	"Stroke"	"605461000006117"
"cerebral infarction nos"	NA	"Stroke"	"395780010"
"brainstem infarction"	NA	"Stroke"	"524541000006117"
"wallenberg syndrome"	NA	"Stroke"	"57341000006119"
"vertebro-basilar artery syndrome"	NA	"Stroke"	"67501000006115"
"multiple and bilateral precerebral artery syndromes"	NA	"Stroke"	"300345010"
"anterior cerebral artery syndrome"	NA	"Stroke"	"300363010"
"generalised ischaemic cerebrovascular disease nos"	NA	"Stroke"	"800691000006113"
"acute cerebrovascular insufficiency nos"	NA	"Stroke"	"300380014"
"cereb infarct due cerebral venous thrombosis, nonpyogenic"	NA	"Stroke"	"542251000006112"
"occlusion/stenosis cerebral arts not result cerebral infarct"	NA	"Stroke"	"267321000006114"
"occlusion and stenosis of anterior cerebral artery"	NA	"Stroke"	"300396012"
"occlusion and stenosis of posterior cerebral artery"	NA	"Stroke"	"300398013"
"occlusion and stenosis of cerebellar arteries"	NA	"Stroke"	"300399017"
"occlusion+stenosis of multiple and bilat cerebral arteries"	NA	"Stroke"	"267311000006118"
"cereb infarct due unsp occlus/stenos precerebr arteries"	NA	"Stroke"	"542261000006114"
"[x]other intracerebral haemorrhage"	NA	"Stroke"	"300939013"
"[x]occlusion and stenosis of other precerebral arteries"	NA	"Stroke"	"300942019"
"[x]occlusion and stenosis of other cerebral arteries"	NA	"Stroke"	"300943012"
"[x]other specified cerebrovascular diseases"	NA	"Stroke"	"300944018"
"[x]other cerebrovascular disorders in diseases ce"	NA	"Stroke"	"407291000006117"
"[x]sequelae/other + unspecified cerebrovascular diseases"	NA	"Stroke"	"426481000006114"
"[x]subarachnoid haemorrh from intracranial artery, unspecif"	NA	"Stroke"	"428181000006115"
"cerebrovascular disorders in the puerperium"	NA	"Stroke"	"543251000006116"
"puerperal cerebrovascular disorder with antenatal comp"	NA	"Stroke"	"200621000006117"
"cerebrovascular system anomaly nos"	NA	"Stroke"	"313577018"
"intracerebral (nontraumatic) haemorrhage of fet and newborn"	NA	"Stroke"	"744871000006114"
"subarachnoid haemorrhage following injury"	NA	"Stroke"	"391042012"
"closed traumatic subarachnoid haemorrhage"	NA	"Stroke"	"402929011"
"open traumatic subarachnoid haemorrhage"	NA	"Stroke"	"320735017"
"traumatic subarachnoid haemorrhage"	NA	"Stroke"	"391043019"
"stroke"	NA	"Stroke"	"884531000006117"
"h/o: tia"	NA	"Stroke"	"251692018"
"chronic cerebral ischaemia"	NA	"Stroke"	"360778011"
"h/o: cva"	NA	"Stroke"	"411518010"
"perinatal subarachnoid haemorrhage"	NA	"Stroke"	"480952017"
"perinatal intraventricular haemorrhage"	NA	"Stroke"	"501622012"
"referral to stroke clinic"	NA	"Stroke"	"2474330011"
"occlusion of left vertebral artery"	NA	"Stroke"	"3505551018"
"occlusion of right vertebral artery"	NA	"Stroke"	"3505555010"
"occlusion of left middle cerebral artery"	NA	"Stroke"	"3505637014"
"occlusion of right middle cerebral artery"	NA	"Stroke"	"3505639012"
"occlusion of left posterior cerebral artery"	NA	"Stroke"	"3505651014"
"cerebrovascular accident due to thrombus of left carotid artery"	NA	"Stroke"	"3508952018"
"cerebrovascular accident due to thrombus of basilar artery"	NA	"Stroke"	"3508955016"
"stroke due to basilar artery thrombus"	NA	"Stroke"	"3508956015"
"cerebrovascular accident due to thrombus of right carotid artery"	NA	"Stroke"	"3508958019"
"cerebrovascular accident due to thrombus of right middle cerebral artery"	NA	"Stroke"	"3508961018"
"stroke due to thrombus of right middle cerebral artery"	NA	"Stroke"	"3508962013"
"cerebrovascular accident due to thrombus of left middle cerebral artery"	NA	"Stroke"	"3508964014"
"stroke due to thrombus of left middle cerebral artery"	NA	"Stroke"	"3508965010"
"cerebrovascular accident due to occlusion of left pontine artery"	NA	"Stroke"	"3509777019"
"cerebrovascular accident due to occlusion of right posterior cerebral artery"	NA	"Stroke"	"3509790014"
"cerebrovascular accident due to occlusion of left middle cerebral artery"	NA	"Stroke"	"3509794017"
"cerebrovascular accident due to occlusion of left posterior cerebral artery"	NA	"Stroke"	"3509799010"
"cerebrovascular accident due to occlusion of right middle cerebral artery"	NA	"Stroke"	"3509810017"
"left hemispheric cerebellar artery embolism with stroke"	NA	"Stroke"	"3509817019"
"thrombosis of right vertebral artery"	NA	"Stroke"	"3511086012"
"thrombosis of right middle cerebral artery"	NA	"Stroke"	"3511955015"
"thrombosis of left middle cerebral artery"	NA	"Stroke"	"3511959014"
"embolus of right posterior cerebral artery"	NA	"Stroke"	"3512174014"
"embolus of left middle cerebral artery"	NA	"Stroke"	"3512176011"
"embolus of right middle cerebral artery"	NA	"Stroke"	"3512178012"
"acute cerebral ischaemia"	NA	"Stroke"	"3515794015"
"stroke care plan"	NA	"Stroke"	"3516948016"
"spontaneous intracranial haemorrhage"	NA	"Stroke"	"3533574016"
"spontaneous intracranial hemorrhage"	NA	"Stroke"	"3533575015"
"nontraumatic intracranial haemorrhage"	NA	"Stroke"	"3533578018"
"cerebrovascular accident due to occlusion of right middle cerebral artery by embolus"	NA	"Stroke"	"3636133016"
"occlusion of right middle cerebral artery by embolus"	NA	"Stroke"	"3636969013"
"subarachnoid h'ge inj + open intracran wnd+concussion unspec"	NA	"Stroke"	"123351000006119"
"subarachnoid haemorrhage following injury with open intracranial wound, with no loss of consciousness"	NA	"Stroke"	"123381000006110"
"subarachnoid h'ge inj no open intracran wnd+<1hr loss consc"	NA	"Stroke"	"123391000006113"
"subarachnoid h'ge inj no open intracran wnd+no loss consc"	NA	"Stroke"	"123411000006113"
"subarachnoid h'ge inj no open intracran wound + 1-24hr loc"	NA	"Stroke"	"123421000006117"
"subarachnoid h'ge inj no open intracran wound + unspec consc"	NA	"Stroke"	"123431000006119"
"did not attend stroke clinic"	NA	"Stroke"	"162111000000112"
"seen in stroke clinic"	NA	"Stroke"	"306621000000116"
"transient cerebral ischemia"	NA	"Stroke"	"416991000006112"
"[x]sequelae of other nontraumatic intracranial haemorrhage"	NA	"Stroke"	"426231000006114"
"[x]sequelae of stroke,not specfd as h'morrhage or infarction"	NA	"Stroke"	"426321000006116"
"traumatic intracranial haemorrhage"	NA	"Stroke"	"660121000006113"
"h/o subarachnoid haemorrhage"	NA	"Stroke"	"808111000006110"
"basilar artery occluded"	NA	"Stroke"	"884461000006113"
"carotid artery occluded"	NA	"Stroke"	"884471000006118"
"vertebral artery occluded"	NA	"Stroke"	"884481000006115"
"precerebral a. occlusion nos"	NA	"Stroke"	"884491000006117"
"cerebral a. occlusion nos"	NA	"Stroke"	"884501000006113"
"transient ischaemic attacks"	NA	"Stroke"	"884511000006111"
"stroke/cva - undefined"	NA	"Stroke"	"884521000006115"
"stroke monitoring administration"	NA	"Stroke"	"940051000006114"
"transient ischaemic attacks"	NA	"Stroke"	"988951000006117"
"stroke/transient ischaemic attack monitoring telephone invitation"	NA	"Stroke"	"1562581000006114"
"cerebral infarction with haemorrhagic transformation"	NA	"Stroke"	"1573101000006112"
"cause of death- cerebral infarct"	NA	"Stroke"	"1576261000006112"
"[v]personal history of transient ischaemic attack"	NA	"Stroke"	"1667741000000110"
"cerebrovascular disease monitoring admin."	NA	"Stroke"	"1855541000006116"
"cerebrovascular disease monitoring in primary care"	NA	"Stroke"	"1855551000006119"
"cerebrovascular disease monitoring in secondary care"	NA	"Stroke"	"1855561000006117"
"stroke self-management plan review"	NA	"Stroke"	"2115821000000118"
"stroke initial post discharge review"	NA	"Stroke"	"2127781000000110"
"old cerebral infarction on imaging"	NA	"Stroke"	"2436731000000112"
"intracranial hemorrhage"	NA	"Stroke"	"2520541000006112"
"stroke rehabilitation"	NA	"Stroke"	"2539131000006116"
"cerebral infarction due to occlusion of cerebral artery"	NA	"Stroke"	"2729551000000111"
"cerebral infarction due to stenosis of cerebral artery"	NA	"Stroke"	"2729571000000119"
"subcortical haemorrhage"	NA	"Stroke"	"2832651000006111"
"subcortical hemorrhage"	NA	"Stroke"	"2832661000006113"
"sah - subarachnoid haemorrhage"	NA	"Stroke"	"2841141000006111"
"sah - subarachnoid hemorrhage"	NA	"Stroke"	"2841151000006113"
"subarachnoid intracranial hemorrhage"	NA	"Stroke"	"2841171000006115"
"intraventricular hemorrhage"	NA	"Stroke"	"2871261000006119"
"intraventricular haemorrhage"	NA	"Stroke"	"2871271000006114"
"completed stroke"	NA	"Stroke"	"2901571000006113"
"juvenile myopathy, encephalopathy, lactic acidosis and stroke"	NA	"Stroke"	"3142511000006112"
"cvd - cerebrovascular disease"	NA	"Stroke"	"3522701000006112"
"brain stem haemorrhage"	NA	"Stroke"	"4056931000006116"
"brainstem haemorrhage"	NA	"Stroke"	"4056951000006111"
"brain stem stroke"	NA	"Stroke"	"4057041000006110"
"nonparalytic stroke"	NA	"Stroke"	"4193641000006111"
"intracranial haemorrhage following injury without open intracranial wound"	NA	"Stroke"	"4198341000006113"
"intracranial haemorrhage following injury with brief loss of consciousness"	NA	"Stroke"	"4396451000006110"
"history of subarachnoid haemorrhage"	NA	"Stroke"	"4540691000006112"
"intracerebral haemorrhage with intraventricular haemorrhage"	NA	"Stroke"	"4777861000006119"
"intracerebral hemorrhage with intraventricular hemorrhage"	NA	"Stroke"	"4777871000006114"
"intracerebral haemorrhage, multiple localised"	NA	"Stroke"	"4777881000006112"
"left sided cerebral hemisphere cerebrovascular accident"	NA	"Stroke"	"4778181000006119"
"right sided cerebral hemisphere cerebrovascular accident"	NA	"Stroke"	"4778201000006118"
"sequelae of cerebrovascular disease"	NA	"Stroke"	"4778311000006112"
"stroke"	NA	"Stroke"	"5010981000006119"
"total anterior cerebral circulation stroke"	NA	"Stroke"	"5011071000006114"
"tacs - total anterior cerebral circulation stroke"	NA	"Stroke"	"5011081000006112"
"partial anterior cerebral circulation stroke"	NA	"Stroke"	"5011111000006118"
"pacs - partial anterior cerebral circulation stroke"	NA	"Stroke"	"5011121000006114"
"posterior cerebral circulation stroke"	NA	"Stroke"	"5011141000006119"
"lacunar stroke"	NA	"Stroke"	"5011161000006115"
"haemorrhagic cerebral infarction"	NA	"Stroke"	"5011291000006119"
"thalamic haemorrhage"	NA	"Stroke"	"5011411000006113"
"thalamic hemorrhage"	NA	"Stroke"	"5011421000006117"
"stroke of uncertain pathology"	NA	"Stroke"	"5011451000006114"
"anterior circulation stroke of uncertain pathology"	NA	"Stroke"	"5011461000006111"
"posterior circulation stroke of uncertain pathology"	NA	"Stroke"	"5011471000006116"
