"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"LipidRegulatingMed"
"5888541000033119"	"Simvastatin 40mg/5ml oral solution"	"Oral solution"	"Oral"	"Simvastatin"	"8.000mg/1.000ml"	NA	"Simvastatin"
"5897741000033110"	"Atorvastatin 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Atorvastatin"	"2.000mg/1.000ml"	NA	"Atorvastatin"
"5897841000033117"	"Atorvastatin 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Atorvastatin"	"2.000mg/1.000ml"	NA	"Atorvastatin"
"5990541000033112"	"Atorvastatin 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Atorvastatin"	"4.000mg/1.000ml"	NA	"Atorvastatin"
"6453641000033112"	"Fibrazate XL 400mg tablets"	"Modified-release tablet"	"Oral"	"Bezafibrate"	"400.000mg"	NA	"Bezafibrate"
"6468641000033113"	"Atorvastatin 10mg chewable tablets sugar free"	"Chewable tablet"	"Oral"	"Atorvastatin"	"10.000mg"	"2120000"	"Atorvastatin"
"6468841000033114"	"Atorvastatin 20mg chewable tablets sugar free"	"Chewable tablet"	"Oral"	"Atorvastatin"	"20.000mg"	"2120000"	"Atorvastatin"
"6469041000033110"	"Lipitor 10mg chewable tablets"	"Chewable tablet"	"Oral"	"Atorvastatin"	"10.000mg"	"2120000"	"Atorvastatin"
"6469141000033114"	"Lipitor 20mg chewable tablets"	"Chewable tablet"	"Oral"	"Atorvastatin"	"20.000mg"	"2120000"	"Atorvastatin"
"7861441000033110"	"Atorvastatin 30mg tablets"	"Tablet"	"Oral"	"Atorvastatin"	"30.000mg"	NA	"Atorvastatin"
"7861541000033111"	"Atorvastatin 60mg tablets"	"Tablet"	"Oral"	"Atorvastatin"	"60.000mg"	NA	"Atorvastatin"
"8493841000033111"	"Pravastatin 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Pravastatin"	"1.000mg/1.000ml"	NA	"Pravastatin"
"8886141000033119"	"Lomitapide 5mg capsules"	"Capsule"	"Oral"	"Lomitapide"	"5.000mg"	"2120000"	"Lomitapide"
"8886241000033114"	"Lomitapide 10mg capsules"	"Capsule"	"Oral"	"Lomitapide"	"10.000mg"	"2120000"	"Lomitapide"
"9069641000033116"	"Policosanol 10mg capsules"	"Capsule"	"Oral"	"Policosanol"	"10.000mg"	NA	"Policosanol"
"9293641000033112"	"Berocca effervescent tablets orange"	"Effervescent tablet"	"Oral"	"Nicotinic acid"	"476.000mg + 130.000microgram + 95.000mg + 8.600microgram + 366.000microgram + 95.000mg + 45.300mg + 22.700mg + 7.100mg + 13.600mg + 10.400mg + 9.000mg"	NA	"Nicotinic acid"
"10617841000033118"	"Evolocumab 140mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Evolocumab"	"140.000mg/1.000ml"	"2120000"	"Evolocumab"
"10617941000033114"	"Repatha 140mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Evolocumab"	"140.000mg/1.000ml"	"2120000"	"Evolocumab"
"10618041000033112"	"Evolocumab 140mg/1ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Evolocumab"	"140.000mg/1.000ml"	"2120000"	"Evolocumab"
"10618141000033111"	"Repatha SureClick 140mg/1ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Evolocumab"	"140.000mg/1.000ml"	"2120000"	"Evolocumab"
"10618641000033118"	"Pravastatin 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Pravastatin"	"1.000mg/1.000ml"	NA	"Pravastatin"
"10647041000033115"	"Alirocumab 75mg/1ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Alirocumab"	"75.000mg/1.000ml"	"2120000"	"Alirocumab"
"10647141000033116"	"Alirocumab 150mg/1ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Alirocumab"	"150.000mg/1.000ml"	"2120000"	"Alirocumab"
"10647241000033111"	"Praluent 75mg/1ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Alirocumab"	"75.000mg/1.000ml"	"2120000"	"Alirocumab"
"10647341000033118"	"Praluent 150mg/1ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Alirocumab"	"150.000mg/1.000ml"	"2120000"	"Alirocumab"
"11241741000033119"	"Fenofibrate 145mg / Simvastatin 20mg tablets"	"Tablet"	"Oral"	"Fenofibrate/Simvastatin"	"145.000mg + 20.000mg"	"2120000"	"Fenofibrate/Simvastatin"
"11241841000033112"	"Fenofibrate 145mg / Simvastatin 40mg tablets"	"Tablet"	"Oral"	"Fenofibrate/Simvastatin"	"145.000mg + 40.000mg"	"2120000"	"Fenofibrate/Simvastatin"
"11241941000033116"	"Cholib 145mg/20mg tablets"	"Tablet"	"Oral"	"Fenofibrate/Simvastatin"	"145.000mg + 20.000mg"	"2120000"	"Fenofibrate/Simvastatin"
"12486541000033113"	"Cholesterol 2% / Simvastatin 2% cream"	"Cream"	"Route of administration not applicable"	"Simvastatin"	"20.000mg/1.000gram + 20.000mg/1.000gram"	NA	"Simvastatin"
"12688241000033113"	"Colestipol 1g tablets"	"Tablet"	"Oral"	"Colestipol"	"1.000gram"	NA	"Colestipol"
"13742041000033111"	"Bempedoic acid 180mg tablets"	"Tablet"	"Oral"	"Bempedoic acid"	"180.000mg"	NA	"Bempedoic acid"
