"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"LipidRegulatingMed"
"802"	"Simvador 40mg tablets (Discovery Pharmaceuticals)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"818"	"Simvastatin 20mg/5ml oral solution sugar free"	"Simvastatin"	"20mg/5ml"	"Oral Suspension Sugar-free"	"Oral"	"02120400"	"Simvastatin"
"1212"	"Colestipol 5g granules sachets sugar free"	"Colestipol"	"5gram"	"Granules"	"Oral"	"02120100"	"Colestipol"
"1214"	"Bezalip 400mg Tablet (Roche Products Ltd)"	"Bezafibrate"	"400mg"	"Modified-release tablet"	"Oral"	"02120300"	"Bezafibrate"
"1215"	"Fenofibrate 100mg Capsule"	"Fenofibrate"	"100mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"1217"	"Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd)"	"Fenofibrate"	"200mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"1219"	"Pravastatin 40mg tablets"	"Pravastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Pravastatin"
"1221"	"Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Pravastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Pravastatin"
"1223"	"Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Pravastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Pravastatin"
"1322"	"Clofibrate 500mg capsules"	"Clofibrate"	"500mg"	"Capsules"	"Oral"	"02120300"	"Clofibrate"
"1324"	"Bezalip 200mg Tablet (Roche Products Ltd)"	"Bezafibrate"	"200mg"	"Tablet"	"Oral"	"02120300"	"Bezafibrate"
"1477"	"Atromid -s 500mg Capsule (AstraZeneca UK Ltd)"	"Clofibrate"	"500mg"	"Capsule"	"Oral"	"02120300"	"Clofibrate"
"1716"	"Questran 4g oral powder sachets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Colestyramine"	"4gram"	"Powder"	"Oral"	"01090200/02120100"	"Colestyramine"
"1764"	"Questran Light 4g oral powder sachets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Colestyramine"	"4gram"	"Powder"	"Oral"	"01090200/02120100"	"Colestyramine"
"2137"	"Fluvastatin 40mg capsules"	"Fluvastatin"	"40mg"	"Capsule"	"Oral"	"02120400"	"Fluvastatin"
"2215"	"Lopid 300mg capsules (Pfizer Ltd)"	"Gemfibrozil"	"300mg"	"Capsule"	"Oral"	"02120300"	"Gemfibrozil"
"2435"	"Lipantil 100mg Capsule (Fournier Pharmaceuticals Ltd)"	"Fenofibrate"	"100mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"2718"	"Zocor 10mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"2955"	"Lipitor 40mg tablets (Pfizer Ltd)"	"Atorvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Atorvastatin"
"3089"	"Ciprofibrate 100mg tablets"	"Ciprofibrate"	"100mg"	"Tablet"	"Oral"	"02120300"	"Ciprofibrate"
"3159"	"Fenofibrate 200mg capsules"	"Fenofibrate"	"200mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"3318"	"Gemfibrozil 300mg capsules"	"Gemfibrozil"	"300mg"	"Capsule"	"Oral"	"02120300"	"Gemfibrozil"
"3411"	"Lipitor 10mg tablets (Pfizer Ltd)"	"Atorvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Atorvastatin"
"3690"	"Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Pravastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Pravastatin"
"4062"	"Lopid 600mg tablets (Pfizer Ltd)"	"Gemfibrozil"	"600mg"	"Tablet"	"Oral"	"02120300"	"Gemfibrozil"
"4067"	"Olbetam 250mg capsules (Pfizer Ltd)"	"Acipimox"	"250mg"	"Capsule"	"Oral"	"02120500"	"Acipimox"
"4920"	"Fenofibrate micronised 200mg capsules"	"Fenofibrate"	"200mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"4928"	"Lipantil Micro 200 capsules (Mylan)"	"Fenofibrate"	"200mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"4961"	"Lipobay 300microgram Tablet (Bayer Plc)"	"Cerivastatin"	"300microgram"	"Tablet"	"Oral"	"02120400"	"Cerivastatin"
"5009"	"Cerivastatin 200microgram tablets"	"Cerivastatin"	"200microgram"	"Tablet"	"Oral"	"00000000"	"Cerivastatin"
"5148"	"Simvastatin 80mg tablets"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"5216"	"Bezalip mono 400mg Modified-release tablet (Roche Products Ltd)"	"Bezafibrate"	"400mg"	"Modified-release tablet"	"Oral"	"02120300"	"Bezafibrate"
"5251"	"Cerivastatin 300microgram tablets"	"Cerivastatin"	"300microgram"	"Tablet"	"Oral"	"00000000"	"Cerivastatin"
"5278"	"Cerivastatin 400microgram tablets"	"Cerivastatin"	"400microgram"	"Tablet"	"Oral"	"00000000"	"Cerivastatin"
"5390"	"Fenofibrate micronised 267mg capsules"	"Fenofibrate"	"267mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"5564"	"Colestid Orange sachets (Pharmacia Ltd)"	"Colestipol"	NA	"Orange Sachets"	"Oral"	"02120100"	"Colestipol"
"5775"	"Atorvastatin 80mg tablets"	"Atorvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Atorvastatin"
"5985"	"Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Fluvastatin"	"80mg"	"Modified-release tablet"	"Oral"	"02120400"	"Fluvastatin"
"6120"	"Ezetrol 10mg tablets (Merck Sharp & Dohme Ltd)"	"Ezetimibe"	"10mg"	"Tablet"	"Oral"	"02120000"	"Ezetimibe"
"6155"	"Colestyramine with aspartame 4g sugar free powder"	"Colestyramine"	"4g"	"Powder Sugar-free"	"Oral"	"01090200/02120100"	"Colestyramine"
"6168"	"Zocor 40mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"6213"	"Rosuvastatin 20mg tablets"	"Rosuvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Rosuvastatin"
"6365"	"Colestid 5g granules sachets plain (Pfizer Ltd)"	"Colestipol"	"5gram"	"Granules"	"Oral"	"02120100"	"Colestipol"
"7196"	"Zocor 20mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"7347"	"Crestor 10mg tablets (AstraZeneca UK Ltd)"	"Rosuvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Rosuvastatin"
"7374"	"Lipitor 20mg tablets (Pfizer Ltd)"	"Atorvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Atorvastatin"
"7540"	"Lipantil Micro 267 capsules (Mylan)"	"Fenofibrate"	"267mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"7544"	"Niaspan 750mg modified-release tablets (Abbott Laboratories Ltd)"	"Nicotinic acid/Niaspan"	"750mg"	"Modified-release tablet"	"Oral"	"02120500"	"Nicotinic acid/Niaspan"
"7551"	"Niaspan 1g modified-release tablets (Abbott Laboratories Ltd)"	"Nicotinic acid/Niaspan"	"1gram"	"Modified-release tablet"	"Oral"	"02120500"	"Nicotinic acid/Niaspan"
"7552"	"Simvastatin 20mg / Ezetimibe 10mg tablets"	"Ezetimibe/Simvastatin"	"20mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"7554"	"Rosuvastatin 5mg tablets"	"Rosuvastatin"	"5mg"	"Tablet"	"Oral"	"02120400"	"Rosuvastatin"
"8082"	"Gemfibrozil 600mg tablets"	"Gemfibrozil"	"600mg"	"Tablet"	"Oral"	"02120300"	"Gemfibrozil"
"8104"	"Acipimox 250mg capsules"	"Acipimox"	"250mg"	"Capsule"	"Oral"	"02120500"	"Acipimox"
"8366"	"Probucol 250mg tablet"	"Probucol"	"250mg"	"Tablets"	"Oral"	"02120700"	"Probucol"
"8380"	"Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Fluvastatin"	"20mg"	"Capsule"	"Oral"	"02120400"	"Fluvastatin"
