"medcodeid"	"term"
"2237981000000112"	"stenosis of dialysis arteriovenous graft"
"2238021000000114"	"stenosis of dialysis arteriovenous shunt"
"2238261000000112"	"thrombosis of dialysis arteriovenous graft"
"2238301000000119"	"thrombosis of dialysis arteriovenous fistula"
"2238341000000116"	"thrombosis of dialysis arteriovenous shunt"
"2238381000000112"	"occlusion of dialysis arteriovenous graft"
"2238421000000115"	"occlusion of dialysis arteriovenous fistula"
"2240321000000114"	"infection of dialysis arteriovenous graft"
"2240741000000115"	"infection of dialysis arteriovenous shunt"
"2240831000000118"	"haemorrhage of dialysis arteriovenous graft"
"2240871000000116"	"haemorrhage of dialysis arteriovenous fistula"
"2240911000000119"	"haemorrhage of dialysis arteriovenous shunt"
"2240951000000115"	"rupture of dialysis arteriovenous graft"
"2240991000000111"	"rupture of dialysis arteriovenous fistula"
"2241031000000116"	"rupture of dialysis arteriovenous shunt"
"2253631000000110"	"stenosis of arterial side of dialysis arteriovenous shunt"
"2253671000000112"	"stenosis of venous side of dialysis arteriovenous shunt"
"2323001000000115"	"chronic kidney disease laboratory study"
"2405141000000117"	"provision of written information about acute kidney injury"
"2613841000000113"	"dialysis therapy started by renal service"
"2613881000000117"	"dialysis therapy stopped by renal service"
"2649061000006115"	"dialysis dementia"
"2672571000006112"	"removal of peritoneal dialysis catheter"
"2732241000006113"	"acute renal failure syndrome"
"2732281000006119"	"aki - acute kidney injury"
"2765401000006111"	"renal bone disease"
"2878351000006115"	"myoglobinuric acute renal failure"
"3013481000006111"	"cardiovascular renal disease"
"3091371000006117"	"acute kidney infection"
"3135211000006116"	"removal of arteriovenous shunt for renal dialysis"
"3183501000006111"	"renal failure syndrome"
"3222371000006111"	"minimal change nephrotic syndrome"
"3245841000006115"	"end stage kidney disease"
"3245851000006118"	"esrf - end stage renal failure"
"3245861000006116"	"escrf - end stage chronic renal failure"
"3245871000006111"	"esrd - end stage renal disease"
"3245881000006114"	"end stage chronic renal failure"
"3331291000006117"	"hepatorenal failure"
"3347091000006118"	"ns - nephrotic syndrome"
"3468091000006118"	"haemodialysis training at home"
"3605671000006116"	"haemodialysis, maintenance at home"
"3647021000006114"	"transplant of kidney"
"3647031000006112"	"kidney transplantation"
"3647051000006117"	"tx - renal transplantation"
"3647061000006115"	"kidney transplant"
"3653841000006116"	"transplanted kidney"
"3798201000006112"	"formation of arteriovenous fistula for kidney dialysis"
"3842511000006119"	"pkd - polycystic kidney disease"
"3902031000006117"	"cardiorenal disease"
"3918321000006116"	"dialysis disequilibrium syndrome"
"3973811000006118"	"chronic renal failure syndrome"
"3973841000006119"	"crf - chronic renal failure"
"3974181000006119"	"renal disease"
"4119171000006114"	"donor of kidney for transplant"
"4259221000006112"	"pre-dialysis"
"4259231000006110"	"post-dialysis"
"4668951000006113"	"autotransplantation of kidney"
"4669451000006113"	"exploration of kidney transplant"
"4694051000006116"	"removal of chronic ambulatory peritoneal dialysis catheter"
"4827551000006116"	"familial juvenile medullary cystic kidney disease"
"4938591000006118"	"washing back through haemodialysis lines"
"5052661000006111"	"intermittent haemodialysis"
