"medcode"	"term"
"108103"	"acute renal failure induced by aminoglycoside"
"108116"	"occlusion of dialysis vascular access"
"108213"	"infection of dialysis arteriovenous graft"
"108423"	"rupture of dialysis arteriovenous graft"
"108437"	"very mild acute rejection of renal transplant"
"108629"	"chronic kidney disease laboratory study"
"108699"	"stenosis of dialysis arteriovenous graft"
"108759"	"haemorrhage of dialysis vascular access"
"108766"	"chronic kidney disease self-management plan agreed"
"108785"	"haemodialysis first use syndrome"
"108816"	"nephrotic syndrome in diseases ec"
"108922"	"wilms' tumour + nephrotic syndrome + pseudohermaphroditism"
"109135"	"occlusion of dialysis arteriovenous graft"
"109215"	"acute renal failure induced by cyclosporin a"
"109455"	"allotransplantation of kidney from cadaver nec"
"109518"	"acute renal failure induced by toxin"
"109657"	"ckd with gfr category g3b & albuminuria category a2"
"109804"	"ckd with gfr category g3a & albuminuria category a1"
"109805"	"ckd with gfr category g3a & albuminuria category a2"
"109808"	"provision of written information about acute kidney injury"
"109809"	"thrombosis of dialysis vascular access"
"109884"	"disorder associated with dialysis"
"109904"	"ckd with gfr category g4 & albuminuria category a2"
"109905"	"ckd with gfr category g3a & albuminuria category a3"
"109963"	"ckd with gfr category g3b & albuminuria category a1"
"109980"	"ckd with gfr category g4 & albuminuria category a1"
"109981"	"ckd with gfr category g5 & albuminuria category a2"
"109990"	"ckd with gfr category g3b & albuminuria category a3"
"110003"	"ckd with gfr category g1 & albuminuria category a2"
"110033"	"ckd with gfr category g1 & albuminuria category a1"
"110051"	"infection of dialysis vascular access"
"110072"	"washing back through haemodialysis lines"
"110095"	"aneurysm of superficialised artery of dialysis av fistula"
"110108"	"ckd with gfr category g2 & albuminuria category a2"
"110133"	"ckd with gfr category g5 & albuminuria category a1"
"110251"	"ckd with gfr category g2 & albuminuria category a3"
"110269"	"ckd with gfr category g2 & albuminuria category a1"
"110467"	"ckd with gfr category g5 & albuminuria category a3"
"110484"	"ckd with gfr category g1 & albuminuria category a3"
"110626"	"ckd with gfr category g4 & albuminuria category a3"
"110749"	"congenital nephrotic syndrome with focal glomerulosclerosis"
"110976"	"pd - peritoneal dialysis training"
"111022"	"ckd stage 1 without proteinuria"
"111103"	"thrombus in peritoneal dialysis catheter"
"111370"	"congenital nephrotic syndrome nos"
"111637"	"mechanical failure of apparatus during kidney dialysis"
"112048"	"unspecified legal abortion with renal failure"
"112053"	"incomplete legal abortion with renal failure"
"112059"	"complete legal abortion with renal failure"
"112065"	"unspecified illegal abortion with renal failure"
"112075"	"incomplete illegal abortion with renal failure"
"112084"	"complete illegal abortion with renal failure"
"112094"	"failed attempted abortion with renal failure"
