"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"5519851000006113"	53	"^ESCTRA551985"	NA	"random blood glucose level"	"271061004"	"405632015"	34
"5519861000006110"	77	"^ESCTRB551986"	NA	"rbg - random blood glucose"	"271061004"	"1225170018"	34
"5519871000006115"	109	"^ESCTRA551987"	NA	"random blood glucose"	"271061004"	"1225171019"	34
"5519881000006117"	436	"^ESCTFA551988"	NA	"fasting blood glucose measurement"	"271062006"	"405634019"	34
"5519891000006119"	672	"^ESCTFA551989"	NA	"fasting blood glucose level"	"271062006"	"405633013"	34
"5519901000006115"	4	"^ESCTFB551990"	NA	"fbg - fasting blood glucose"	"271062006"	"1225172014"	34
"5519911000006117"	110	"^ESCTFA551991"	NA	"fasting blood glucose"	"271062006"	"1225173016"	34
"5519921000006113"	14	"^ESCTFB551992"	NA	"fbs - fasting blood sugar"	"271062006"	"1225174010"	34
"5519931000006111"	9	"^ESCTLU551993"	NA	"lunch time blood glucose measurement"	"271063001"	"3078802014"	31
"5519961000006119"	32	"^ESCTSU551996"	NA	"supper time blood glucose measurement"	"271064007"	"3078889019"	34
"5519981000006112"	35	"^ESCTSU551998"	NA	"supper time blood sugar level"	"271064007"	"405638016"	34
"5519991000006110"	44	"^ESCTBE551999"	NA	"bedtime blood glucose measurement"	"271065008"	"3078692018"	34
"5520001000006117"	6	"^ESCTBE552000"	NA	"bedtime blood sugar level"	"271065008"	"405639012"	34
"5576781000006110"	54	"^ESCTGL557678"	NA	"glucose in sample"	"275794004"	"411749015"	20
"5576911000006117"	14530	"^ESCTBM557691"	NA	"bm stix glucose measurement"	"275810004"	"411765019"	34
"5587011000006111"	54	"^ESCTNE558701"	NA	"neonatal hyperglycaemia"	"276557002"	"412745011"	31
"5910951000006116"	8	"^ESCTPO591095"	NA	"post-prandial blood glucose measurement"	"302788006"	"444673011"	34
"5910961000006119"	166	"^ESCTPO591096"	NA	"post-prandial blood glucose"	"302788006"	"444674017"	34
"5910991000006110"	7	"^ESCTCA591099"	NA	"capillary blood glucose level"	"302789003"	"444675016"	34
"6173321000006112"	2	"^ESCTBL617332"	NA	"blood glucose meters"	"337414009"	"469996017"	31
"6275381000006114"	1247	"^ESCTGL627538"	NA	"glucose concentration, dipstick - finding"	"365657003"	"488983017"	31
"6275401000006114"	1	"^ESCTFI627540"	NA	"finding of glucose concentration, dipstick"	"365657003"	"2766318011"	31
"6279571000006118"	1462	"^ESCTGL627957"	NA	"glucose level - finding"	"365811003"	"489269015"	34
"6279581000006115"	130	"^ESCTGL627958"	NA	"glucose level"	"365811003"	"489270019"	34
