"medcode"	"term"	"database"
"274380012"	"immediate suture of obstetric laceration"	"Aurum"
"274381011"	"immediate repair of obstetric tear"	"Aurum"
"274385019"	"immediate repair of minor obstetric laceration"	"Aurum"
"274389013"	"other specified immediate repair of obstetric laceration"	"Aurum"
"274390016"	"immediate repair of obstetric laceration nos"	"Aurum"
"274395014"	"secondary repair of obstetric laceration"	"Aurum"
"274396010"	"obstetric uterine tamponade"	"Aurum"
"274398011"	"other specified other obstetric operation"	"Aurum"
"274399015"	"other obstetric operation nos"	"Aurum"
"274410018"	"other specified obstetric monitoring"	"Aurum"
"274411019"	"obstetric monitoring nos"	"Aurum"
"274413016"	"other obstetric operations nos"	"Aurum"
"274414010"	"other specified obstetric operations"	"Aurum"
"274415011"	"obstetric operations nos"	"Aurum"
"278770019"	"intravenous induction of labour"	"Aurum"
"282803012"	"pregnancy prophylactic therapy"	"Aurum"
"282822015"	"iron supplement in pregnancy"	"Aurum"
"282823013"	"vitamin supplement - pregnancy"	"Aurum"
"283530019"	"obstetric emergency hospital admission"	"Aurum"
"283570014"	"non-urgent obstetric admission"	"Aurum"
"283655015"	"obstetric referral"	"Aurum"
"283737019"	"referral for counselling for termination of pregnancy"	"Aurum"
"283814015"	"discharged from hospital within 6 hours of delivery"	"Aurum"
"283843011"	"obstetric self-referral"	"Aurum"
"283909015"	"obstetric d.v. requested"	"Aurum"
"283951010"	"obstetric d.v. done"	"Aurum"
"283984010"	"listed for obstetric admission"	"Aurum"
"284066015"	"referral to antenatal clinic"	"Aurum"
"284067012"	"referral to postnatal clinic"	"Aurum"
"284094011"	"private referral to obstetrician"	"Aurum"
"284238018"	"requests pregnancy termination"	"Aurum"
"285219018"	"seen in antenatal clinic"	"Aurum"
"285267011"	"seen in postnatal clinic"	"Aurum"
"286478012"	"obstetrical tetanus"	"Aurum"
"291092014"	"uncertain neoplasm of placenta nos"	"Aurum"
"293024013"	"puerperal osteomalacia"	"Aurum"
"294714016"	"postpartum psychosis"	"Aurum"
"296443010"	"[x]puerperal mental disorder, unspecified"	"Aurum"
"301902016"	"antenatal enamel hypoplasia"	"Aurum"
"301904015"	"postnatal enamel hypoplasia"	"Aurum"
"304633016"	"postpartum subinvolution of breast"	"Aurum"
"304898014"	"old uterine laceration due to obstetric cause"	"Aurum"
"304916013"	"cicatrix (postpartum) of cervix"	"Aurum"
"305277014"	"complications of pregnancy, childbirth and the puerperium"	"Aurum"
"305290019"	"delivery of viable fetus in abdominal pregnancy"	"Aurum"
"305296013"	"tubal pregnancy nos"	"Aurum"
"305297016"	"other ectopic pregnancy"	"Aurum"
"305298014"	"membranous pregnancy"	"Aurum"
"305300014"	"mesenteric pregnancy"	"Aurum"
"305301013"	"angular pregnancy"	"Aurum"
"305303011"	"other ectopic pregnancy nos"	"Aurum"
"305304017"	"ectopic pregnancy nos"	"Aurum"
"305387010"	"legal termination of pregnancy complicated by renal failure"	"Aurum"
"305388017"	"legal termination of pregnancy complicated by metabolic disorder"	"Aurum"
"305389013"	"legal termination of pregnancy complicated by shock"	"Aurum"
"305390016"	"legal termination of pregnancy complicated by embolism"	"Aurum"
"305391017"	"legal termination of pregnancy with complication"	"Aurum"
"305394013"	"legal termination of pregnancy without complication"	"Aurum"
"305415011"	"incomplete legal termination of pregnancy"	"Aurum"
"305434011"	"complete legal termination of pregnancy"	"Aurum"
"305436013"	"legal termination of pregnancy"	"Aurum"
"305466018"	"illegal termination of pregnancy, incomplete"	"Aurum"
"305482017"	"illegal termination of pregnancy, complete"	"Aurum"
"305539016"	"failed attempted termination of pregnancy"	"Aurum"
"305542010"	"genital or pelvic infection following abortive pregnancy"	"Aurum"
"305543017"	"endometritis following abortive pregnancy"	"Aurum"
"305544011"	"parametritis following abortive pregnancy"	"Aurum"
"305545012"	"pelvic peritonitis following abortive pregnancy"	"Aurum"
"305546013"	"salpingitis following abortive pregnancy"	"Aurum"
"305547016"	"salpingo-oophoritis following abortive pregnancy"	"Aurum"
"305550018"	"septicaemia nos following abortive pregnancy"	"Aurum"
"305554010"	"afibrinogenaemia following abortive pregnancy"	"Aurum"
"305555011"	"defibrination syndrome following abortive pregnancy"	"Aurum"
"305557015"	"intravascular haemolysis following abortive pregnancy"	"Aurum"
"305561014"	"bladder damage following abortive pregnancy"	"Aurum"
"305562019"	"bowel damage following abortive pregnancy"	"Aurum"
"305563012"	"broad ligament damage following abortive pregnancy"	"Aurum"
"305564018"	"cervix damage following abortive pregnancy"	"Aurum"
"305565017"	"periurethral tissue damage following abortive pregnancy"	"Aurum"
"305566016"	"uterus damage following abortive pregnancy"	"Aurum"
"305567013"	"vaginal damage following abortive pregnancy"	"Aurum"
"305569011"	"renal failure following abortive pregnancy"	"Aurum"
"305570012"	"oliguria following abortive pregnancy"	"Aurum"
"305571011"	"acute renal failure following abortive pregnancy"	"Aurum"
"305572016"	"renal shutdown following abortive pregnancy"	"Aurum"
"305573014"	"renal tubular necrosis following abortive pregnancy"	"Aurum"
"305575019"	"uraemia following abortive pregnancy"	"Aurum"
"305577010"	"metabolic disorder following abortive pregnancy"	"Aurum"
"305578017"	"shock following abortive pregnancy"	"Aurum"
"305579013"	"embolism following abortive pregnancy"	"Aurum"
"305581010"	"air embolism following abortive pregnancy"	"Aurum"
"305582015"	"amniotic fluid embolism following abortive pregnancy"	"Aurum"
"305583013"	"blood-clot embolism following abortive pregnancy"	"Aurum"
"305584019"	"fat embolism following abortive pregnancy"	"Aurum"
"305585018"	"pulmonary embolism following abortive pregnancy"	"Aurum"
"305587014"	"pyaemic embolism following abortive pregnancy"	"Aurum"
"305588016"	"septic embolism following abortive pregnancy"	"Aurum"
"305589012"	"soap embolism following abortive pregnancy"	"Aurum"
"305599019"	"acute liver necrosis following abortive pregnancy"	"Aurum"
"305600016"	"cardiac arrest following abortive pregnancy"	"Aurum"
"305601017"	"cardiac failure following abortive pregnancy"	"Aurum"
"305602012"	"cerebral anoxia following abortive pregnancy"	"Aurum"
"305603019"	"urinary tract infection following abortive pregnancy"	"Aurum"
"305613010"	"other specified pregnancy with abortive outcome"	"Aurum"
"305614016"	"pregnancy with abortive outcome nos"	"Aurum"
"305615015"	"complication occurring during pregnancy"	"Aurum"
"305626014"	"other haemorrhage in early pregnancy unspecified"	"Aurum"
"305627017"	"haemorrhage in early pregnancy, delivered"	"Aurum"
"305630012"	"haemorrhage in early pregnancy, antepartum"	"Aurum"
"305631011"	"other haemorrhage in early pregnancy nos"	"Aurum"
"305634015"	"early pregnancy haemorrhage nos"	"Aurum"
"305635019"	"early pregnancy haemorrhage nos unspecified"	"Aurum"
"305638017"	"early pregnancy haemorrhage nos - delivered"	"Aurum"
"305639013"	"early pregnancy haemorrhage nos - not delivered"	"Aurum"
"305655018"	"placenta praevia without haemorrhage unspecified"	"Aurum"
"305658016"	"placenta praevia without haemorrhage - delivered"	"Aurum"
"305659012"	"placenta praevia without haemorrhage - not delivered"	"Aurum"
"305664011"	"placenta praevia without haemorrhage nos"	"Aurum"
"305665012"	"placenta praevia with haemorrhage"	"Aurum"
"305668014"	"placenta praevia with haemorrhage unspecified"	"Aurum"
"305669018"	"placenta praevia with haemorrhage - delivered"	"Aurum"
"305672013"	"placenta praevia with haemorrhage - not delivered"	"Aurum"
"305673015"	"placenta praevia with haemorrhage nos"	"Aurum"
"305679016"	"placental abruption unspecified"	"Aurum"
"305680018"	"placental abruption - delivered"	"Aurum"
"305681019"	"placental abruption - not delivered"	"Aurum"
"305682014"	"premature separation of placenta with coagulation defect"	"Aurum"
"305683016"	"placental abruption nos"	"Aurum"
"305696015"	"antepartum haemorrhage with coagulation defect unspecified"	"Aurum"
"305697012"	"antepartum haemorrhage with coagulation defect - delivered"	"Aurum"
"305702015"	"antepartum haemorrhage with coagulation defect nos"	"Aurum"
"305703013"	"antepartum haemorrhage with trauma"	"Aurum"
"305706017"	"antepartum haemorrhage with trauma unspecified"	"Aurum"
"305707014"	"antepartum haemorrhage with trauma - delivered"	"Aurum"
"305710019"	"antepartum haemorrhage with trauma - not delivered"	"Aurum"
"305711015"	"antepartum haemorrhage with trauma nos"	"Aurum"
"305716013"	"antepartum haemorrhage with uterine leiomyoma"	"Aurum"
"305717016"	"antepartum haemorrhage with fibroid"	"Aurum"
"305718014"	"antepartum haemorrhage with uterine fibroid"	"Aurum"
"305719018"	"antepartum haemorrhage with uterine leiomyoma unspecified"	"Aurum"
"305722016"	"antepartum haemorrhage with uterine leiomyoma - delivered"	"Aurum"
"305726018"	"antepartum haemorrhage with uterine leiomyoma nos"	"Aurum"
"305730015"	"other antepartum haemorrhage"	"Aurum"
"305731016"	"other antepartum haemorrhage unspecified"	"Aurum"
"305734012"	"other antepartum haemorrhage - delivered"	"Aurum"
"305735013"	"other antepartum haemorrhage - not delivered"	"Aurum"
"305738010"	"other antepartum haemorrhage nos"	"Aurum"
"305742013"	"antepartum haemorrhage nos, unspecified"	"Aurum"
"305743015"	"antepartum haemorrhage nos - delivered"	"Aurum"
"305746011"	"antepartum haemorrhage nos - not deliv"	"Aurum"
"305747019"	"antepartum haemorrhage nos"	"Aurum"
"305764016"	"other pre-existing hypertension in preg/childbirth/puerp"	"Aurum"
