"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"antihypertensive"
"3225441000033117"	"Adipine XL 30mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	"2060200"	"Nifedipine"
"3225541000033116"	"Adipine XL 60mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	"2060200"	"Nifedipine"
"3227241000033111"	"Candesartan 32mg tablets"	"Tablet"	"Oral"	"Candesartan"	"32.000mg"	NA	"Candesartan"
"3227341000033118"	"Amias 32mg tablets"	"Tablet"	"Oral"	"Candesartan"	"32.000mg"	NA	"Candesartan"
"3246941000033118"	"Atenolol 50mg / Nifedipine 20mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Nifedipine/Atenolol"	"50.000mg + 20.000mg"	"2040000"	"Nifedipine/Atenolol"
"3279241000033117"	"Enalapril 5mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Enalapril"	"1.000mg/1.000ml"	NA	"Enalapril"
"3279541000033115"	"Lisicostad 10mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Lisinopril"	"12.500mg + 10.000mg"	"2050501"	"Hydrochlorothiazide/Lisinopril"
"3279641000033119"	"Lisicostad 20mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Lisinopril"	"12.500mg + 20.000mg"	"2050501"	"Hydrochlorothiazide/Lisinopril"
"3283141000033118"	"Quinil 5mg tablets"	"Tablet"	"Oral"	"Quinapril"	"5.000mg"	NA	"Quinapril"
"3333941000033117"	"Captopril 8mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"1.600mg/1.000ml"	NA	"Captopril"
"3346641000033118"	"Timolol 10mg / Bendroflumethiazide 2.5mg tablets"	"Tablet"	"Oral"	"Bendroflumethiazide/Timolol"	"2.500mg + 10.000mg"	"2040000"	"Bendroflumethiazide/Timolol"
"3346841000033117"	"Losartan 100mg / Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Losartan"	"25.000mg + 100.000mg"	NA	"Hydrochlorothiazide/Losartan"
"3346941000033113"	"Cozaar-Comp 100mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Losartan"	"25.000mg + 100.000mg"	NA	"Hydrochlorothiazide/Losartan"
"3851341000033117"	"Captopril 3mg/5ml oral solution"	"Oral solution"	"Oral"	"Captopril"	"600.000microgram/1.000ml"	NA	"Captopril"
"3890041000033117"	"Ramipril Powder For Oral Suspension With Diluent (Kit) 10 mg/5 ml"	"Powder"	"Oral"	"Ramipril"	NA	NA	"Ramipril"
"3890141000033118"	"Amlodipine Powder For Oral Suspension With Diluent (Kit) 10 mg/5 ml"	"Powder"	"Oral"	"Amlodipine"	NA	NA	"Amlodipine"
"3908741000033114"	"Lercanidipine 20mg tablets"	"Tablet"	"Oral"	"Lercanidipine"	"20.000mg"	NA	"Lercanidipine"
"3908841000033116"	"Zanidip 20mg tablets"	"Tablet"	"Oral"	"Lercanidipine"	"20.000mg"	NA	"Lercanidipine"
"3908941000033112"	"Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Olmesartan"	"12.500mg + 20.000mg"	"2050502"	"Hydrochlorothiazide/Olmesartan"
"3909041000033115"	"Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Olmesartan"	"25.000mg + 20.000mg"	"2050502"	"Hydrochlorothiazide/Olmesartan"
"3909141000033116"	"Olmetec Plus 20mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Olmesartan"	"12.500mg + 20.000mg"	"2050502"	"Hydrochlorothiazide/Olmesartan"
"3909241000033111"	"Olmetec Plus 20mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Olmesartan"	"25.000mg + 20.000mg"	"2050502"	"Hydrochlorothiazide/Olmesartan"
"3924141000033111"	"Chlorothiazide 200mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlorothiazide"	"40.000mg/1.000ml"	NA	"Chlorothiazide"
