"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antihypertensive"
"74154"	"Spironolactone 2mg/5ml oral suspension"	"Spironolactone"	"400microgram/1ml"	"Oral suspension"	"Oral"	"02020300"	"Spironolactone"
"74155"	"Lisinopril 5mg tablets (Aurobindo Pharma Ltd)"	"Lisinopril"	"5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"74172"	"Indapamide 1.5mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Indapamide"	"1.5mg"	"Modified-release tablet"	"Oral"	"02020100"	"Indapamide"
"74209"	"Trandolapril 1mg capsules (Actavis UK Ltd)"	"Trandolapril"	"1mg"	"Capsule"	"Oral"	"02050501"	"Trandolapril"
"74215"	"Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (DE Pharmaceuticals)"	"Hydrochlorothiazide/Losartan"	"50mg + 12.5mg"	"Tablet"	"Oral"	"02050504"	"Hydrochlorothiazide/Losartan"
"74237"	"Enalapril 25mg/5ml oral solution"	"Enalapril"	"5mg/1ml"	"Oral solution"	"Oral"	"02050501"	"Enalapril"
"74243"	"Losartan 50mg tablets (Consilient Health Ltd)"	"Losartan"	"50mg"	"Tablet"	"Oral"	"02050502"	"Losartan"
"74285"	"Spironolactone 25mg/5ml oral suspension (Drug Tariff Special Order)"	"Spironolactone"	"5mg/1ml"	"Oral suspension"	"Oral"	"02020300"	"Spironolactone"
"74299"	"Diazoxide 125mg/5ml oral suspension"	"Diazoxide"	"25mg/1ml"	"Oral suspension"	"Oral"	"06010400"	"Diazoxide"
"74300"	"Diazoxide 25mg capsules"	"Diazoxide"	"25mg"	"Capsule"	"Oral"	"06010400"	"Diazoxide"
"74301"	"Diazoxide 125mg/5ml oral solution"	"Diazoxide"	"25mg/1ml"	"Oral solution"	"Oral"	"06010400"	"Diazoxide"
"74330"	"Nifedipine 20mg modified-release tablets (Ennogen Healthcare Ltd)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"74417"	"Captopril 20mg/5ml oral suspension"	"Captopril"	"4mg/1ml"	"Oral suspension"	"Oral"	"02050501"	"Captopril"
"74534"	"Clonidine 250micrograms/5ml oral suspension"	"Clonidine"	"50microgram/1ml"	"Oral suspension"	"Oral"	"02050200/04070402/06040101"	"Clonidine"
"74567"	"Doxazosin 8mg tablets"	"Doxazosin"	"8mg"	"Tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
"74589"	"Losartan 25mg tablets (Genesis Pharmaceuticals Ltd)"	"Losartan"	"25mg"	"Tablet"	"Oral"	"02050502"	"Losartan"
"74618"	"Ramipril 2.5mg capsules (Mawdsley-Brooks & Company Ltd)"	"Ramipril"	"2.5mg"	"Capsule"	"Oral"	"02050501"	"Ramipril"
"74623"	"Celiprolol 400mg tablets (Mylan)"	"Celiprolol"	"400mg"	"Tablet"	"Oral"	"02040000"	"Celiprolol"
"74627"	"Captopril 25mg Tablet (C P Pharmaceuticals Ltd)"	"Captopril"	"25mg"	"Tablet"	"Oral"	"02050501"	"Captopril"
"74631"	"Spironolactone 50mg tablets (Actavis UK Ltd)"	"Spironolactone"	"50mg"	"Tablet"	"Oral"	"02020300"	"Spironolactone"
"74632"	"Ramipril 5mg Tablet (Sovereign Medical Ltd)"	"Ramipril"	"5mg"	"Tablet"	"Oral"	"02050501"	"Ramipril"
"74648"	"Nifedipine 10mg Capsule (C P Pharmaceuticals Ltd)"	"Nifedipine"	"10mg"	"Capsule"	"Oral"	"02060200"	"Nifedipine"
"74689"	"Diltiazem 240mg modified-release capsules (Ennogen Pharma Ltd)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"74720"	"Adempas 2mg tablets (Merck Sharp & Dohme Ltd)"	"Riociguat"	"2mg"	"Tablet"	"Oral"	"02050100"	"Riociguat"
