"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antihypertensive"
"10688"	"Verapamil 160mg tablets"	"Verapamil"	"160mg"	"Tablet"	"Oral"	"02060200"	"Verapamil"
"10713"	"Decaserpyl 5mg Tablet (Roussel Laboratories Ltd)"	"Methoserpidine"	"5mg"	"Tablet"	"Oral"	"02050200"	"Methoserpidine"
"10714"	"Methoserpidine 5mg Tablet"	"Methoserpidine"	"5mg"	"Tablet"	"Oral"	"02050200"	"Methoserpidine"
"10716"	"Corgard 80mg tablets (Sanofi)"	"Nadolol"	"80mg"	"Tablet"	"Oral"	"02040000"	"Nadolol"
"10832"	"Securon 80mg Tablet (Abbott Laboratories Ltd)"	"Verapamil"	"80mg"	"Tablet"	"Oral"	"02030202/02060200"	"Verapamil"
"10879"	"Bethanidine sulphate 10mg tablets"	"Betanidine"	"10mg"	"Tablets"	"Oral"	"02050300"	"Betanidine"
"10882"	"Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Lisinopril"	"2.5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"10897"	"VERAPAMIL S/F 40 MG/5ML SOL"	"Verapamil"	NA	NA	NA	"00000000"	"Verapamil"
"10902"	"Captopril 50mg with Hydrochlorothiazide 25mg tablets"	"Captopril/Hydrochlorothiazide"	"50mg + 25mg"	"Tablets"	"Oral"	"02020100/02050501"	"Captopril/Hydrochlorothiazide"
"11000"	"Minoxidil 5% solution"	"Minoxidil"	"50mg/1ml"	"Liquid"	"Cutaneous"	"02050100/13090300"	"Minoxidil"
"11133"	"Hydrochlorothiazide with captopril 25mg with 50mg Tablet"	"Captopril/Hydrochlorothiazide"	"25mg + 50mg"	"Tablet"	"Oral"	"02020100/02050501"	"Captopril/Hydrochlorothiazide"
"11156"	"Spirolone 25mg Tablet (Berk Pharmaceuticals Ltd)"	"Spironolactone"	"25mg"	"Tablet"	"Oral"	"02020300"	"Spironolactone"
"11177"	"Physiotens 200microgram tablets (Mylan)"	"Moxonidine"	"200microgram"	"Tablet"	"Oral"	"02050200"	"Moxonidine"
"11197"	"Innovace melt 5mg Wafer (Merck Sharp & Dohme Ltd)"	"Enalapril"	"5mg"	"Wafer"	NA	"02050501"	"Enalapril"
"11223"	"Angitil SR 90 capsules (Ethypharm UK Ltd)"	"Diltiazem"	"90mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"11251"	"Diovan 40mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Valsartan"	"40mg"	"Capsule"	"Oral"	"02050502"	"Valsartan"
"11252"	"Diovan 80mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Valsartan"	"80mg"	"Capsule"	"Oral"	"02050502"	"Valsartan"
"11265"	"Triamterene 50mg / Furosemide 40mg tablets"	"Triamterene"	"50mg + 40mg"	"Tablet"	"Oral"	"02020400"	"Triamterene"
"11304"	"Regaine extra strength 50mg/ml Cutaneous solution (Pharmacia Ltd)"	"Minoxidil"	"50mg/1ml"	"Liquid"	"Cutaneous"	"13090300"	"Minoxidil"
"11338"	"Bendroflumethiazide 5mg with Nadolol 40mg tablets"	"Bendroflumethiazide/Nadolol"	"5mg + 40mg"	"Tablets"	"Oral"	"02020100/02040000"	"Bendroflumethiazide/Nadolol"
"11348"	"Aprovel 300mg tablets (Sanofi)"	"Irbesartan"	"300mg"	"Tablet"	"Oral"	"02050502"	"Irbesartan"
"11351"	"Co-zidocapt 25mg/50mg tablets"	"Captopril/Hydrochlorothiazide"	"50mg + 25mg"	"Tablet"	"Oral"	"02020100/02050501"	"Captopril/Hydrochlorothiazide"
"11384"	"Co-flumactone 50mg/50mg tablets"	"Spironolactone"	"50mg + 50mg"	"Tablet"	"Oral"	"02020400"	"Spironolactone"
"11394"	"Baratol 25mg Tablet (Shire Pharmaceuticals Ltd)"	"Indoramin"	"25mg"	"Tablet"	"Oral"	"02050400/07040150"	"Indoramin"
"11432"	"Timoptol Unit Dose 0.5% ophthalmic solution 0.2ml unit dose (Santen UK Ltd)"	"Timolol"	"5mg/1ml"	"Eye drops"	"Ocular"	"11065000"	"Timolol"
"11448"	"Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets"	"Hydrochlorothiazide/Irbesartan"	"12.5mg + 150mg"	"Tablet"	"Oral"	"02020100/02050504"	"Hydrochlorothiazide/Irbesartan"
"11454"	"Timolol 0.5% eye gel"	"Timolol"	"5mg/1ml"	"Eye gel"	"Ocular"	"11065000"	"Timolol"
"11469"	"Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets"	"Hydrochlorothiazide/Irbesartan"	"300mg + 12.5mg"	"Tablet"	"Oral"	"02020100/02050504"	"Hydrochlorothiazide/Irbesartan"
"11512"	"Nifedipress MR 10 tablets (Dexcel-Pharma Ltd)"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"11519"	"Spironolactone 25mg/5ml oral suspension sugar free"	"Spironolactone"	"25mg/5ml"	"Suspension Sugar-free"	"Oral"	"02020300"	"Spironolactone"
"11526"	"CoAprovel 300mg/12.5mg tablets (Sanofi)"	"Hydrochlorothiazide/Irbesartan"	"300mg + 12.5mg"	"Tablet"	"Oral"	"02020100/02050504"	"Hydrochlorothiazide/Irbesartan"
"11547"	"Nimodipine 30mg tablets"	"Nimodipine"	"30mg"	"Tablet"	"Oral"	"02060200"	"Nimodipine"
"11561"	"Co-zidocapt 12.5mg/25mg tablets"	"Captopril/Hydrochlorothiazide"	"12.5mg + 25mg"	"Tablet"	"Oral"	"02020100/02050501"	"Captopril/Hydrochlorothiazide"
"11567"	"Ramipril 5mg with felodipine 5mg modified-release tablet"	"Felodipine/Ramipril"	"5mg + 5mg"	"Modified Release Tablet"	"Oral"	"02050501/02060200"	"Felodipine/Ramipril"
"11641"	"Captopril 25mg with Hydrochlorothiazide 12.5mg tablets"	"Captopril/Hydrochlorothiazide"	"25mg + 12.5mg"	"Tablets"	"Oral"	"02020100/02050501"	"Captopril/Hydrochlorothiazide"
"11711"	"Propranolol 50mg/5ml oral solution"	"Propranolol"	"50mg/5ml"	"Oral Solution"	"Oral"	"02030202/02040000"	"Propranolol"
"11769"	"Calchan MR 20 tablets (Ranbaxy (UK) Ltd)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"11770"	"Dilzem SR 60 capsules (Teva UK Ltd)"	"Diltiazem"	"60mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"11777"	"Verapamil 40mg/5ml oral solution sugar free"	"Verapamil"	"8mg/1ml"	"Oral solution"	"Oral"	"02060200"	"Verapamil"
"11793"	"Metoprolol 50mg/5ml oral suspension"	"Metoprolol"	"10mg/1ml"	"Oral suspension"	"Oral"	"02040000/04070402"	"Metoprolol"
"11806"	"Regaine for Women Regular Strength 2% solution (McNeil Products Ltd)"	"Minoxidil"	"20mg/1ml"	"Liquid"	"Cutaneous"	"02050100/13090300"	"Minoxidil"
"11864"	"Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets"	"Hydrochlorothiazide/Valsartan"	"160mg + 12.5mg"	"Tablet"	"Oral"	"02050504"	"Hydrochlorothiazide/Valsartan"
"11922"	"Diltiazem 60mg/5ml oral suspension"	"Diltiazem"	"12mg/1ml"	"Oral suspension"	"Oral"	"02060200"	"Diltiazem"
"11937"	"Ramipril 2.5mg/5ml oral suspension"	"Ramipril"	"500microgram/1ml"	"Oral suspension"	"Oral"	"02050501"	"Ramipril"
"11943"	"Cardene 20mg capsules (Astellas Pharma Ltd)"	"Nicardipine"	"20mg"	"Capsule"	"Oral"	"02060200"	"Nicardipine"
"11965"	"Ramipril 2.5mg with felodipine 2.5mg modified-release tablet"	"Felodipine/Ramipril"	"2.5mg + 2.5mg"	"Modified Release Tablet"	"Oral"	"02050501/02060200"	"Felodipine/Ramipril"
"11966"	"Motens 2mg tablets (GlaxoSmithKline UK Ltd)"	"Lacidipine"	"2mg"	"Tablet"	"Oral"	"02060200"	"Lacidipine"
"11972"	"Vertab SR 240 tablets (Chiesi Ltd)"	"Verapamil"	"240mg"	"Modified-release tablet"	"Oral"	"02060200"	"Verapamil"
"11973"	"Calcicard CR 120mg tablets (Teva UK Ltd)"	"Diltiazem"	"120mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"11983"	"Perindopril erbumine 4mg/5ml oral suspension"	"Perindopril"	"800microgram/1ml"	"Oral suspension"	"Oral"	"02050501"	"Perindopril"
"11987"	"Lisinopril 5mg/5ml oral solution"	"Lisinopril"	"1mg/1ml"	"Oral solution"	"Oral"	"02050501"	"Lisinopril"
"12037"	"Betim 10mg Tablet (ICN Pharmaceuticals France S.A.)"	"Timolol"	"10mg"	"Tablet"	"Oral"	"02040000/04070402"	"Timolol"
"12054"	"Propranolol 80mg / Bendroflumethiazide 2.5mg capsules"	"Bendroflumethiazide/Propranolol"	"80mg + 2.5mg"	"Capsule"	"Oral"	"00000000"	"Bendroflumethiazide/Propranolol"
"12104"	"Cordilox 160mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Verapamil"	"160mg"	"Tablet"	"Oral"	"02060200"	"Verapamil"
"12296"	"Sectral 100mg capsules (Sanofi)"	"Acebutolol"	"100mg"	"Capsule"	"Oral"	"02040000"	"Acebutolol"
"12313"	"Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Lisinopril"	"20mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"12321"	"GUANETHIDINE 5% ADRENALINE 0.5% DROPS % EYE"	"Guanethidine"	NA	NA	NA	"00000000"	"Guanethidine"
"12360"	"Nephril 1mg Tablet (Pfizer Ltd)"	"Polythiazide"	"1mg"	"Tablet"	"Oral"	"02020100"	"Polythiazide"
"12392"	"Univer 180mg modified-release capsules (Teva UK Ltd)"	"Verapamil"	"180mg"	"Modified-release capsule"	"Oral"	"02060200"	"Verapamil"
"12411"	"Cilazapril 500microgram tablets"	"Cilazapril"	"500microgram"	"Tablet"	"Oral"	"02050501"	"Cilazapril"
"12412"	"Cilazapril 2.5mg tablets"	"Cilazapril"	"2.5mg"	"Tablet"	"Oral"	"02050501"	"Cilazapril"
"12440"	"Hydrosaluric 25mg tablets (Merck Sharp & Dohme Ltd)"	"Hydrochlorothiazide"	"25mg"	"Tablet"	"Oral"	"00000000"	"Hydrochlorothiazide"
"12456"	"Sotazide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Hydrochlorothiazide"	NA	"Tablet"	"Oral"	"02040000"	"Hydrochlorothiazide"
"12495"	"Berkolol 10mg Tablet (Berk Pharmaceuticals Ltd)"	"Propranolol"	"10mg"	"Tablet"	"Oral"	"02030202/02040000"	"Propranolol"
"12517"	"Timolol maleate with bendroflumethiazide 20mg + 5mg Tablet"	"Bendroflumethiazide/Timolol"	"20mg + 5mg"	"Tablet"	"Oral"	"02020100/02040000"	"Bendroflumethiazide/Timolol"
"12545"	"Phentolamine 10mg/1ml solution for injection ampoules"	"Phentolamine"	"10mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"02050400"	"Phentolamine"
"12546"	"Kalspare Tablet (Dominion Pharma)"	"Chlortalidone/Triamterene"	"50mg + 50mg"	"Tablet"	"Oral"	"02020100/02020400"	"Chlortalidone/Triamterene"
"12547"	"Triamterene 50mg / Chlortalidone 50mg tablets"	"Chlortalidone/Triamterene"	"50mg + 50mg"	"Tablet"	"Oral"	"02020400"	"Chlortalidone/Triamterene"
"12574"	"Cilazapril 1mg tablets"	"Cilazapril"	"1mg"	"Tablet"	"Oral"	"02050501"	"Cilazapril"
"12606"	"Nifelease 20mg Modified-release tablet (Eastern Pharmaceuticals Ltd)"	"Nifedipine"	"20mg"	"Modified-release Tablet"	"Oral"	"02060200"	"Nifedipine"
"12613"	"Unipine xl 30mg Modified-release tablet (Genus Pharmaceuticals Ltd)"	"Nifedipine"	"30mg"	"Modified-release Tablet"	"Oral"	"02060200"	"Nifedipine"
"12639"	"Diltiazem HCl 90mg Modified-release tablet (Actavis UK Ltd)"	"Diltiazem"	"90mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"12651"	"Timolol 10mg / Bendroflumethiazide 2.5mg tablets"	"Bendroflumethiazide/Timolol"	"10mg + 2.5mg"	"Tablet"	"Oral"	"02040100"	"Bendroflumethiazide/Timolol"
"12705"	"Angiozem CR 90mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Diltiazem"	"90mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"12815"	"Tanatril 10mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)"	"Imidapril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Imidapril"
"12836"	"Eprosartan 600mg tablets"	"Eprosartan"	"600mg"	"Tablet"	"Oral"	"02050502"	"Eprosartan"
"12858"	"Imidapril 10mg tablets"	"Imidapril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Imidapril"
"12874"	"Telmisartan 80mg tablets"	"Telmisartan"	"80mg"	"Tablet"	"Oral"	"02050502"	"Telmisartan"
"12875"	"Cardene SR 45mg capsules (Astellas Pharma Ltd)"	"Nicardipine"	"45mg"	"Modified-release capsule"	"Oral"	"02060200"	"Nicardipine"
"12926"	"Polythiazide 1mg tablets"	"Polythiazide"	"1mg"	"Tablet"	"Oral"	"00000000"	"Polythiazide"
"12946"	"Spironolactone 10mg/5ml oral suspension sugar free"	"Spironolactone"	"10mg/5ml"	"Suspension Sugar-free"	"Oral"	"02020300"	"Spironolactone"
"13026"	"Cilazapril 5mg tablets"	"Cilazapril"	"5mg"	"Tablet"	"Oral"	"02050501"	"Cilazapril"
"13027"	"Viazem XL 240mg capsules (Thornton & Ross Ltd)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"13033"	"Angitil XL 240 capsules (Ethypharm UK Ltd)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"13075"	"Dilzem XL 180 capsules (Teva UK Ltd)"	"Diltiazem"	"180mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"13123"	"Eprosartan 400mg tablets"	"Eprosartan"	"400mg"	"Tablet"	"Oral"	"02050502"	"Eprosartan"
"13127"	"Dilzem XL 240 capsules (Teva UK Ltd)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"13139"	"Adipine XL 30mg tablets (Chiesi Ltd)"	"Nifedipine"	"30mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"13240"	"Dilzem XL 120 capsules (Teva UK Ltd)"	"Diltiazem"	"120mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"13243"	"Lercanidipine 20mg tablets"	"Lercanidipine"	"20mg"	"Tablet"	"Oral"	"02060200"	"Lercanidipine"
"13246"	"Chlorothiazide 150mg/5ml oral suspension"	"Chlorothiazide"	"30mg/1ml"	"Oral suspension"	"Oral"	"02020100"	"Chlorothiazide"
"13251"	"Vera-Til SR 240mg tablets (Tillomed Laboratories Ltd)"	"Verapamil"	"240mg"	"Modified-release tablet"	"Oral"	"02060200"	"Verapamil"
"13264"	"Spironolactone 15mg/5ml oral suspension"	"Spironolactone"	"3mg/1ml"	"Oral suspension"	"Oral"	"02020300"	"Spironolactone"
"13302"	"Dilzem SR 90 capsules (Teva UK Ltd)"	"Diltiazem"	"90mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"13317"	"Apresoline 20mg powder for solution for injection ampoules (AMCo)"	"Hydralazine"	"20mg"	"Powder for solution for injection"	"Intravenous"	"02050100"	"Hydralazine"
"13352"	"Midamor 5mg Tablet (MSD Thomas Morson Pharmaceuticals)"	"Amiloride"	"5mg"	"Tablet"	"Oral"	"02020300"	"Amiloride"
"13363"	"Esidrex 50mg Tablet (Novartis Pharmaceuticals UK Ltd)"	"Hydrochlorothiazide"	"50mg"	"Tablet"	"Oral"	"02020100"	"Hydrochlorothiazide"
"13379"	"Ismelin 25mg Tablet (Sovereign Medical Ltd)"	"Guanethidine"	"25mg"	"Tablet"	"Oral"	"02050300"	"Guanethidine"
"13394"	"Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd)"	"Atenolol"	"5mg/1ml"	"Oral solution"	"Oral"	"02040000"	"Atenolol"
"13410"	"Angiozem 60mg modified-release tablets (Ashbourne Pharmaceuticals Ltd)"	"Diltiazem"	"60mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"13415"	"Corgard 40mg tablets (Sanofi-Synthelabo Ltd)"	"Nadolol"	"40mg"	"Tablet"	"Oral"	"00000000"	"Nadolol"
"13435"	"Frumil Forte 10mg/80mg tablets (Sanofi)"	"Amiloride"	"10mg + 80mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"13499"	"Lopresor 100mg Tablet (Novartis Pharmaceuticals UK Ltd)"	"Metoprolol"	"100mg"	"Tablet"	"Oral"	"02040000"	"Metoprolol"
"13526"	"Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd)"	"Chlortalidone/Atenolol"	"100mg + 25mg"	"Tablet"	"Oral"	"02020100/02040000"	"Chlortalidone/Atenolol"
"13589"	"Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Fosinopril"	"20mg"	"Tablet"	"Oral"	"02050501"	"Fosinopril"
"13610"	"Alphavase 2 tablets (Ashbourne Pharmaceuticals Ltd)"	"Prazosin"	"2mg"	"Tablet"	"Oral"	"02050400/07040150"	"Prazosin"
"13672"	"Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"13699"	"Angiopine la 40mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Nifedipine"	"40mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"13755"	"Enalapril 10mg wafer"	"Enalapril"	"10mg"	"Wafer"	NA	"02050501"	"Enalapril"
"13821"	"Micardis 40mg tablets (Boehringer Ingelheim Ltd)"	"Telmisartan"	"40mg"	"Tablet"	"Oral"	"02050502"	"Telmisartan"
"13856"	"Verapress MR 240mg tablets (Actavis UK Ltd)"	"Verapamil"	"240mg"	"Modified-release tablet"	"Oral"	"02060200"	"Verapamil"
"13871"	"Co-prenozide 160mg/0.25mg modified-release tablets"	"Cyclopenthiazide"	"160mg + 250microgram"	"Modified-release tablet"	"Oral"	"02040000"	"Cyclopenthiazide"
"13926"	"Diltiazem 360mg modified-release capsules"	"Diltiazem"	"360mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"13965"	"Cordilox MR 240mg tablets (Teva UK Ltd)"	"Verapamil"	"240mg"	"Modified-release tablet"	"Oral"	"02060200"	"Verapamil"
"14057"	"Pindolol 10mg / Clopamide 5mg tablets"	"Pindolol"	"5mg + 10mg"	"Tablet"	"Oral"	"02040100"	"Pindolol"
"14109"	"Spironolactone 100mg/5ml oral solution sugar free"	"Spironolactone"	"100mg/5ml"	"Suspension Sugar-free"	"Oral"	"02020300"	"Spironolactone"
"14126"	"Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets"	"Hydrochlorothiazide/Acebutolol"	"200mg + 12.5mg"	"Tablet"	"Oral"	"00000000"	"Hydrochlorothiazide/Acebutolol"
"14144"	"Inspra 25mg tablets (Pfizer Ltd)"	"Eplerenone"	"25mg"	"Tablet"	"Oral"	"02020300"	"Eplerenone"
"14228"	"Coversyl Plus tablets (Servier Laboratories Ltd)"	"Indapamide/Perindopril"	"4mg + 1.25mg"	"Tablet"	"Oral"	"00000000"	"Indapamide/Perindopril"
"14283"	"Valsartan 160mg / Hydrochlorothiazide 25mg tablets"	"Hydrochlorothiazide/Valsartan"	"160mg + 25mg"	"Tablet"	"Oral"	"02050504"	"Hydrochlorothiazide/Valsartan"
"14300"	"Zanidip 20mg tablets (Recordati Pharmaceuticals Ltd)"	"Lercanidipine"	"20mg"	"Tablet"	"Oral"	"02060200"	"Lercanidipine"
"14305"	"Vascalpha 10mg modified-release tablets (Actavis UK Ltd)"	"Felodipine"	"10mg"	"Modified-release tablet"	"Oral"	"02060200"	"Felodipine"
"14387"	"Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Lisinopril"	"5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"14390"	"Aldomet 250mg/5ml Liquid (Merck Sharp & Dohme Ltd)"	"Methyldopa"	"50mg/1ml"	"Oral suspension"	"Oral"	"02050200"	"Methyldopa"
"14438"	"Corgaretic 80mg tablets (Sanofi-Synthelabo Ltd)"	"Bendroflumethiazide/Nadolol"	"80mg + 5mg"	"Tablet"	"Oral"	"00000000"	"Bendroflumethiazide/Nadolol"
"14442"	"Esbatal 50mg Tablet (Wellcome Medical Division)"	"Betanidine"	"50mg"	"Tablet"	"Oral"	"02050300"	"Betanidine"
"14477"	"Accupro 10mg tablets (Pfizer Ltd)"	"Quinapril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Quinapril"
"14478"	"Accupro 20mg tablets (Pfizer Ltd)"	"Quinapril"	"20mg"	"Tablet"	"Oral"	"02050501"	"Quinapril"
"14495"	"Loniten 10mg tablets (Pfizer Ltd)"	"Minoxidil"	"10mg"	"Tablet"	"Oral"	"02050100"	"Minoxidil"
"14502"	"Metoprolol 5mg/5ml solution for injection ampoules"	"Metoprolol"	"1mg/1ml"	"Solution for injection"	"Intravenous"	"02040000"	"Metoprolol"
"14552"	"Propanix 10mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Propranolol"	"10mg"	"Tablet"	"Oral"	"02030202/02040000"	"Propranolol"
"14587"	"Amiloride 5mg / Bumetanide 1mg tablets"	"Amiloride"	"1mg + 5mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"14673"	"Pindolol 15mg tablets"	"Pindolol"	"15mg"	"Tablet"	"Oral"	"02040000"	"Pindolol"
"14738"	"Hydrochlorothiazide with losartan 12.5mg with 50mg Tablet"	"Hydrochlorothiazide/Losartan"	"12.5mg + 50mg"	"Tablet"	"Oral"	"02020100/02050502"	"Hydrochlorothiazide/Losartan"
"14808"	"Bedranol SR 80mg capsules (Sandoz Ltd)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"14861"	"Calchan MR 10 tablets (Ranbaxy (UK) Ltd)"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"14870"	"Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets"	"Hydrochlorothiazide/Telmisartan"	"40mg + 12.5mg"	"Tablet"	"Oral"	"02050504"	"Hydrochlorothiazide/Telmisartan"
"14877"	"Nyogel 0.1% eye gel (Alcon Laboratories (UK) Ltd)"	"Timolol"	"1mg/1ml"	"Eye drops"	"Ocular"	"11065000"	"Timolol"
"14892"	"Anoheal 2% Cream (S.L.A. Pharma (UK) Ltd)"	"Diltiazem"	"20mg/1gram"	"Cream"	"Transdermal"	"01070400"	"Diltiazem"
"14943"	"Valsartan 40mg tablets"	"Valsartan"	"40mg"	"Tablet"	"Oral"	"02050502"	"Valsartan"
"14960"	"Coversyl 8mg tablets (Servier Laboratories Ltd)"	"Perindopril"	"8mg"	"Tablet"	"Oral"	"02050501"	"Perindopril"
"14965"	"Cozaar 100mg tablets (Merck Sharp & Dohme Ltd)"	"Losartan"	"100mg"	"Tablet"	"Oral"	"02050502"	"Losartan"
"14983"	"Olmetec 10mg tablets (Daiichi Sankyo UK Ltd)"	"Olmesartan"	"10mg"	"Tablet"	"Oral"	"02050502"	"Olmesartan"
"15031"	"Accuretic 12.5mg/10mg tablets (Pfizer Ltd)"	"Hydrochlorothiazide/Quinapril"	"12.5mg + 10mg"	"Tablet"	"Oral"	"02050501"	"Hydrochlorothiazide/Quinapril"
"15042"	"Tolerzide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Hydrochlorothiazide"	NA	"Tablet"	"Oral"	"02040000"	"Hydrochlorothiazide"
"15052"	"Spiroctan 50mg Tablet (Roche Products Ltd)"	"Spironolactone"	"50mg"	"Tablet"	"Oral"	"02020300"	"Spironolactone"
"15053"	"SPIRONOLACTONE 10 MG/5ML LIQ"	"Spironolactone"	NA	NA	NA	"00000000"	"Spironolactone"
"15085"	"Innovace Titration pack (Merck Sharp & Dohme Ltd)"	"Enalapril"	NA	"Titration Pack"	"Oral"	"02050501"	"Enalapril"
"15096"	"Accupro 40mg tablets (Pfizer Ltd)"	"Quinapril"	"40mg"	"Tablet"	"Oral"	"02050501"	"Quinapril"
"15108"	"Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets"	"Hydrochlorothiazide/Quinapril"	"12.5mg + 10mg"	"Tablet"	"Oral"	"02050501"	"Hydrochlorothiazide/Quinapril"
"15117"	"Nifedipine with atenolol 20mg + 50mg Capsule"	"Nifedipine/Atenolol"	"20mg + 50mg"	"Capsule"	"Oral"	"02040000/02060200"	"Nifedipine/Atenolol"
"15121"	"Moexipril 7.5mg tablets"	"Moexipril"	"7.5mg"	"Tablet"	"Oral"	"02050501"	"Moexipril"
"15127"	"Hydrochlorothiazide with triamterene 25mgwith50mg Tablet"	"Hydrochlorothiazide/Triamterene"	"25mg+50mg"	"Tablet"	"Oral"	"02020100/02020400"	"Hydrochlorothiazide/Triamterene"
"15135"	"Hydrochlorothiazide with captopril 12.5mg with 25mg Tablet"	"Captopril/Hydrochlorothiazide"	"12.5mg + 25mg"	"Tablet"	"Oral"	"02020100/02050501"	"Captopril/Hydrochlorothiazide"
"15176"	"Totamol 50mg Tablet (C P Pharmaceuticals Ltd)"	"Atenolol"	"50mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"15221"	"Dilcardia xl 180mg Modified-release capsule (Generics (UK) Ltd)"	"Diltiazem"	"180mg"	"Modified-release Capsule"	"Oral"	"02060200"	"Diltiazem"
"15288"	"Angitil XL 300 capsules (Ethypharm UK Ltd)"	"Diltiazem"	"300mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"15488"	"Metoprolol tartrate with chlortalidone Tablet"	"Chlortalidone/Metoprolol"	NA	"Tablet"	"Oral"	"02020100/02040000"	"Chlortalidone/Metoprolol"
"15493"	"Reserpine with hydrochlorothiazide tablet"	"Hydrochlorothiazide/Reserpine"	NA	"Tablets"	"Oral"	"02050200"	"Hydrochlorothiazide/Reserpine"
"15577"	"HYDROCHLOROTHIAZIDE 12.5MG/K 8.1MMOL S/R 12.5 MG TAB"	"Hydrochlorothiazide"	NA	"Tablet"	"Oral"	"00000000"	"Hydrochlorothiazide"
"15605"	"Cilazapril 250micrograms tablets"	"Cilazapril"	"250micrograms"	"Tablets"	"Oral"	"02050501"	"Cilazapril"
"15619"	"Half-betadur cr 80mg Capsule (Monmouth Pharmaceuticals Ltd)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"02040000/04070402"	"Propranolol"
"15659"	"DILTIAZEM HCL S/R 180 CAP"	"Diltiazem"	NA	NA	NA	"00000000"	"Diltiazem"
"15715"	"Genalat retard 20mg Modified-release tablet (Wyeth Pharmaceuticals)"	"Nifedipine"	"20mg"	"Modified-release Tablet"	"Oral"	"02060200"	"Nifedipine"
"15730"	"Totamol 100mg Tablet (C P Pharmaceuticals Ltd)"	"Atenolol"	"100mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"15811"	"Co-flumactone 25mg/25mg tablets"	"Spironolactone"	"25mg + 25mg"	"Tablet"	"Oral"	"02020400"	"Spironolactone"
