"medcodeid"	"term"
"4170241000006112"	"nodular hyperplasia of liver"
"4353641000006110"	"toxic cirrhosis"
"4355091000006112"	"latent cirrhosis"
"4661751000006118"	"orthotopic liver transplant"
"4661791000006112"	"piggy-back liver transplant"
"4761131000006119"	"folate deficiency anaemia due to liver disorders"
"4787031000006110"	"alf - acute liver failure"
"4787291000006118"	"nafld - nonalcoholic fatty liver disease"
"5080561000006115"	"drainage of liver abscess"
"5086531000006114"	"liver disorder due to infection"
"5086651000006118"	"chronic viral hepatitis b with hepatitis d"
"5086841000006119"	"chronic hepatic failure"
"5086961000006111"	"autoimmune liver disease"
"5087201000006117"	"liver transplant disorder"
"5359951000006114"	"cirrhotic"
"5524681000006114"	"cirrhosis secondary to cholestasis"
"5538541000006110"	"entire transplanted liver"
"5562801000006119"	"diagnostic aspiration of liver abscess"
"5914631000006112"	"portal hypertensive gastropathy"
"5963241000006115"	"extended right hepatectomy"
"5970611000006115"	"marsupialisation of liver cyst"
"6349661000006117"	"early cirrhosis"
"6947461000006115"	"alcoholic cirrhosis"
"6947471000006110"	"alcoholic liver cirrhosis"
"7133411000006113"	"acute rejection of liver transplant"
"7261021000006117"	"steatohepatitis"
"7266931000006113"	"nash - nonalcoholic steatohepatitis"
"7559751000006113"	"compensated liver disease"
"7629961000006118"	"chronic active hepatitis c"
"7630871000006114"	"end stage liver disease"
"7700651000006119"	"chronic alcoholic liver disease"
"7716821000006114"	"hepatic granuloma"
"7727891000006116"	"nodular regenerative hyperplasia of liver"
"7743871000006114"	"decompensated cirrhosis of liver"
"7743881000006112"	"decompensated cirrhosis"
"7821631000006114"	"fibrosis of liver caused by alcohol"
"7821641000006116"	"alcoholic fibrosis of liver"
"7821651000006119"	"autoimmune hepatitis type 1"
"7837271000006119"	"non-alcoholic fatty liver disease without non-alcoholic steatohepatitis"
"7839841000006119"	"alpps - associating liver partition and portal vein ligation for staged hepatectomy"
"7966981000006110"	"cirrhosis of liver due to chronic hepatitis c"
"8032261000006117"	"cirrhosis of liver due to hepatitis b"
"8458711000006115"	"ascites due to alcoholic cirrhosis"
"12061221000006116"	"chronic hepatitis c caused by hepatitis c virus genotype 6"
"12064771000006114"	"chronic hepatitis c caused by hepatitis c virus genotype 3"
"12066941000006110"	"chronic hepatitis c caused by hepatitis c virus genotype 1"
"12070031000006113"	"chronic hepatitis c caused by hepatitis c virus genotype 1b"
"12070041000006115"	"chronic hepatitis c caused by hepatitis c virus genotype 1a"
"13954441000006117"	"chronic necrosis of liver"
"13958471000006115"	"bacterial liver abscess"
"14146411000006112"	"oesophageal varices due to cirrhosis of liver"
"14146421000006116"	"oesophageal varices due to cirrhosis of liver caused by alcohol"
"14150251000006111"	"laparoscopic extended left hemihepatectomy"
