"source_table"	"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"aurum_angina"	"4776031000006115"	"49"	"^ESCTIS477603"	NA	"ischaemic heart disease - angina"	"194828000"	"299762013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"5887611000006117"	"2759"	"^ESCTEX588761"	NA	"exercise-induced angina"	"300995000"	"442203016"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"5887631000006111"	"350"	"^ESCTEX588763"	NA	"exertional angina"	"300995000"	"442205011"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"5887641000006118"	"8"	"^ESCTAN588764"	NA	"angina of effort"	"300995000"	"442206012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"6360391000006118"	"2074"	"^ESCTAT636039"	NA	"atypical angina"	"371807002"	"1210402019"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"6360401000006116"	"23"	"^ESCTRE636040"	NA	"recurrent angina after percutaneous transluminal coronary angioplasty"	"371808007"	"2470265017"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"6360421000006114"	"17"	"^ESCTRE636042"	NA	"recurrent angina after coronary stent placement"	"371809004"	"2470266016"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"6360441000006119"	"14"	"^ESCTRE636044"	NA	"recurrent angina after coronary artery bypass graft"	"371810009"	"2470267013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"6360461000006115"	"1"	"^ESCTRE636046"	NA	"recurrent angina post rotational atherectomy"	"371811008"	"2470268015"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"7105241000006116"	"972"	"^ESCTTY710524"	NA	"typical angina"	"429559004"	"2692821011"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"7966931000006114"	"12"	"^ESCTAN796693"	NA	"angina associated with type 2 diabetes mellitus"	"791000119109"	"2967773018"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"8240941000006118"	"21"	"^ESCTAN824094"	NA	"angina self management plan declined"	"772471000000106"	"1724231000000118"	"31"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"9868461000006110"	"94"	"^ESCTUN986846"	NA	"unstable angina co-occurrent and due to coronary arteriosclerosis"	"15960061000119102"	"3323416014"	"32"	NA	NA	NA	NA	NA	NA	NA
