"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antiplatelet"
"57585"	"Asasantin Retard capsules (Dowelhurst Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"58112"	"Alka-Seltzer effervescent tablets original (Bayer Plc)"	"Aspirin"	"324mg + 965mg + 1.625gram"	"Effervescent tablet"	"Oral"	"04070500"	"Aspirin"
"58331"	"Aspirin 300mg gastro-resistant tablets (Mylan)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"58347"	"Clopidogrel 75mg tablets (DE Pharmaceuticals)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"58448"	"Clopidogrel 75mg tablets (Aspire Pharma Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"59021"	"Aspirin 75mg gastro-resistant tablets (Bristol Laboratories Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"59244"	"Aspirin 100mg capsules"	"Aspirin"	"100mg"	"Capsule"	"Oral"	"02090000/04070100"	"Aspirin"
"59253"	"Aspirin 75mg gastro-resistant tablets (Waymade Healthcare Plc)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"59470"	"Persantin Retard 200mg capsules (Consilient Health Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"02090000"	"Dipyridamole"
"59728"	"Aspirin 75mg tablets (Alissa Healthcare Research Ltd)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"59791"	"Aspirin 75mg dispersible tablets (Aspar Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"59904"	"Clopidogrel 75mg/5ml oral solution"	"Clopidogrel"	"15mg/1ml"	"Oral solution"	"Oral"	"02090000"	"Clopidogrel"
"60127"	"Aspirin 75mg tablets (DE Pharmaceuticals)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"60278"	"Aspirin 300mg tablets (DE Pharmaceuticals)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"60321"	"Dipyridamole 25mg tablets (Phoenix Healthcare Distribution Ltd)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
