"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antiplatelet"
"3"	"Aspirin 75mg dispersible tablets"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"16"	"Aspirin 75mg tablets"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"34"	"Aspirin 75mg gastro-resistant tablets"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"111"	"ASPIRIN 40 MG CAP"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"216"	"ASPIRIN 70 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"254"	"Aspirin 300mg tablets"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"306"	"Aspirin with codeine phosphate and caffeine tablets"	"Aspirin"	NA	"Tablets"	"Oral"	"04070100/04070200"	"Aspirin"
"377"	"Aspirin 300mg dispersible tablets"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"381"	"Anadin Tablet (Wyeth Consumer Healthcare)"	"Aspirin"	"325mg + 15mg"	"Tablet"	"Oral"	"04070100"	"Aspirin"
"383"	"ASPIRIN 60 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"393"	"Disprin 300mg dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"395"	"Aspirin mixture"	"Aspirin"	NA	"Mixture"	"Oromucosal"	"04070100"	"Aspirin"
"430"	"Aspirin 500mg / Caffeine 32mg capsules"	"Aspirin"	"500mg + 32mg"	"Capsules"	"Oral"	"04070100"	"Aspirin"
"434"	"Aspirin 300mg gastro-resistant tablets"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"484"	"Equagesic Tablet (Wyeth Pharmaceuticals)"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100"	"Aspirin"
"489"	"Clopidogrel 75mg tablets"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"572"	"Ticlopidine 250mg tablets"	"Ticlopidine"	"250mg"	"Tablet"	"Oral"	"02090000"	"Ticlopidine"
"645"	"Aspirin 300mg suppositories"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"02090000/04070100"	"Aspirin"
"657"	"Aspirin 500mg granules sachets sugar free"	"Aspirin"	"500mg"	"Granules"	"Oral"	"02090000/04070100"	"Aspirin"
"685"	"Aspav dispersible tablets (Actavis UK Ltd)"	"Aspirin"	"500mg + 7.71mg"	"Dispersible tablet"	"Oral"	"00000000"	"Aspirin"
"689"	"Persantin 25mg tablets (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"714"	"Dipyridamole 200mg modified-release capsules"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"02090000"	"Dipyridamole"
"771"	"Dipyridamole 25mg tablets"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"836"	"Plavix 75mg tablets (Sanofi)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"1049"	"Nu-seals aspirin 600mg Tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"600mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"1137"	"Nu-seals aspirin ec 300mg Gastro-resistant tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"1486"	"ASPIRIN 75 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"1814"	"Dipyridamole 100mg tablets"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"1902"	"Aspirn 600mg gastro-resistant tablets"	"Aspirin"	"600mg"	"Gastro-resistant Tablets"	"Oral"	"02090000/04070100"	"Aspirin"
"2047"	"Co-codaprin 8mg with 400mg tablets"	"Aspirin"	"8mg+400mg"	"Tablets"	"Oral"	"04070100/04070200"	"Aspirin"
"2105"	"Solprin 300mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"2106"	"Persantin 100mg tablets (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"2607"	"Paynocil Tablet (Beecham Research Laboratories)"	"Aspirin"	NA	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"2628"	"Nu-seals aspirin ec 75mg Gastro-resistant tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"2754"	"ASPIRIN SOLUBLE 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"2924"	"ASPIRIN 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"2986"	"Co-codaprin 8mg/400mg dispersible tablets"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"04070100"	"Aspirin"
"3155"	"Migravess 5mg+325mg Effervescent tablet (Bayer Plc)"	"Aspirin"	"5mg+325mg"	"Effervescent Tablet"	"Oral"	"04065500/04070401"	"Aspirin"
"3309"	"Aspirin 325mg / Caffeine 15mg tablets"	"Aspirin"	"325mg + 15mg"	"Tablet"	"Oral"	"04070100"	"Aspirin"
"3386"	"Migravess forte 5mg+450mg Effervescent tablet (Bayer Plc)"	"Aspirin"	"5mg+450mg"	"Effervescent Tablet"	"Oral"	"04065500/04070401"	"Aspirin"
"3726"	"Metoclopramide with aspirin 5mg + 325mg Effervescent tablet"	"Aspirin"	"5mg + 325mg"	"Effervescent Tablet"	"Oral"	"04065500/04070401"	"Aspirin"
"3832"	"Persantin Retard 200mg capsules (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"02090000"	"Dipyridamole"
"4271"	"ASPIRIN SOLUBLE 200 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"4523"	"ASPIRIN 50 MG CAP"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"4557"	"ASPIRIN & PAPAVERUTUM 10 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"4679"	"Asasantin Retard capsules (Boehringer Ingelheim Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"5288"	"MigraMax oral powder sachets (Zentiva)"	"Aspirin"	"10mg + 900mg"	"Powder"	"Oral"	"04070100"	"Aspirin"
"5882"	"Dipyridamole 50mg/5ml oral suspension sugar free"	"Dipyridamole"	"10mg/1ml"	"Oral suspension"	"Oral"	"02090000"	"Dipyridamole"
"6006"	"Nu-Seals 75 gastro-resistant tablets (Alliance Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"6007"	"Nu-Seals 300 gastro-resistant tablets (Alliance Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"6226"	"Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free"	"Aspirin"	"500mg + 7.71mg"	"Dispersible tablet"	"Oral"	"00000000"	"Aspirin"
"6666"	"Dipyridamole 200mg modified-release / Aspirin 25mg capsules"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"6696"	"Micropirin 75mg gastro-resistant tablets (Dexcel-Pharma Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"7417"	"ASPIRIN 40 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7462"	"ASPIRIN 325 MG CAP"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"7486"	"ASPIRIN 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7516"	"Aspirin 300mg effervescent tablets sugar free"	"Aspirin"	"300mg"	"Effervescent tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"7518"	"Aspirin 400mg with Codeine 8mg dispersible tablets"	"Aspirin"	"400mg + 8mg"	"Dispersible Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"7520"	"Anadin Extra soluble tablets (Pfizer Consumer Healthcare Ltd)"	"Aspirin"	"300mg + 200mg + 45mg"	"Soluble tablet"	"Oral"	"04070500"	"Aspirin"
"7539"	"Beechams Powders oral powder sachets (GlaxoSmithKline Consumer Healthcare)"	"Aspirin"	"600mg + 50mg"	"Powder"	"Oral"	"04070100"	"Aspirin"
"7665"	"ASPIRIN SR 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7769"	"ASPIRIN/PARACETAMOL TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7770"	"ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 250 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7915"	"ASPIRIN SR 100 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7944"	"ASPIRIN SOLUBLE 40 MG CAP"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"7989"	"DIHYDROCODEINE TARTRATE/ASPIRIN 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8185"	"Disprin CV 300mg modified-release tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Modified-release tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"8186"	"Aspirin 300mg modified-release tablets"	"Aspirin"	"300mg"	"Modified-release tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"8381"	"ASPIRIN /CAMPHOR /MENTHOL /METHYL SALICY 1.2 % LIN"	"Aspirin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Aspirin"
"8424"	"ASPIRIN PAED 81 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8641"	"DIPYRIDAMOLE 100 MG SUS"	"Dipyridamole"	NA	NA	NA	"00000000"	"Dipyridamole"
"8645"	"Aspirin 300mg effervescent tablets"	"Aspirin"	"300mg"	"Tablets"	"Oral"	"02090000/04070100"	"Aspirin"
"8733"	"JUNIOR ASPIRIN 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8734"	"ASPIRIN disp 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8843"	"ASPIRIN 325 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8920"	"ASPIRIN SOLUBLE 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"9027"	"ASPIRIN disp 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"9044"	"Codis 500 dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"500mg + 8mg"	"Dispersible tablet"	"Oral"	"04070100"	"Aspirin"
"9129"	"Paracetamol 250mg with aspirin 250mg & codeine 6.8mg tablet"	"Aspirin"	"250mg+250mg+6.8mg"	"Tablets"	"Oral"	"04070100"	"Aspirin"
"9144"	"Caprin 75mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"9301"	"Aspirin 100mg modified-release tablets"	"Aspirin"	"100mg"	"Modified Release Tablet"	"Oral"	"02090000"	"Aspirin"
"9432"	"Aspirin 500mg / Codeine 8mg soluble tablets"	"Aspirin"	"500mg + 8mg"	"Soluble Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"9939"	"Aspirin 500mg effervescent tablets sugar free"	"Aspirin"	"500mg"	"Effervescent tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"10031"	"Aspirin 25mg with Dipyridamole 200mg modified-release capsules"	"Aspirin/Dipyridamole"	"25mg + 200mg"	"Modified Release Capsules"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"10305"	"Aspirin 162.5mg capsules"	"Aspirin"	"162.5mg"	"Capsules"	"Oral"	"02090000/04070100"	"Aspirin"
"10310"	"Aspirin powder"	"Aspirin"	"1mg/1mg"	"Not applicable"	"Route of administration not applicable"	"02090000/04070100/50030000"	"Aspirin"
"11326"	"Meprobamate with ethoheptazine citrate and aspirin Tablet"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100"	"Aspirin"
"11941"	"ASPIRIN SACHETS 30 MG"	"Aspirin"	NA	"Granules"	"Oral"	"00000000"	"Aspirin"
"11951"	"Original Phensic Aspirin tablets (Merck Consumer Health Products)"	"Aspirin"	"325mg + 22mg"	"Tablet"	"Oral"	"00000000"	"Aspirin"
"11961"	"Veganin Tablet (Pfizer Consumer Healthcare Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100"	"Aspirin"
"11977"	"Aspro clear maximum strength tablets"	"Aspirin"	"500mg"	"Effervescent tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"12047"	"Aspellin Ointment (Rpr / Fisons)"	"Aspirin"	NA	"Ointment"	"Topical"	"10030250"	"Aspirin"
"12102"	"ASPIRIN SOLUBLE 100 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"12605"	"ASPIRIN & CAFFEINE disp 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"12964"	"Aspirin 600mg / Caffeine 50mg oral powder sachets sugar free"	"Aspirin"	"600mg + 50mg"	"Powder"	"Oral"	"04070100"	"Aspirin"
"12976"	"Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free"	"Aspirin"	"10mg + 900mg"	"Powder"	"Oral"	"04070100"	"Aspirin"
"12992"	"Aspirin 500mg / Codeine 8mg dispersible tablets sugar free"	"Aspirin"	"500mg + 8mg"	"Dispersible tablet"	"Oral"	"04070100"	"Aspirin"
"13598"	"ASPIRIN & CODEINE 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"13882"	"Imazin XL tablets (Napp Pharmaceuticals Ltd)"	"Aspirin"	"75mg + 60mg"	"Modified-release tablet"	"Oral"	"00000000"	"Aspirin"
"14517"	"Robaxisal forte Tablet (Shire Pharmaceuticals Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100/10020200"	"Aspirin"
"15044"	"ASPIRIN disp 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"15352"	"ASPIRIN & PARACETAMOL TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"15364"	"Aspirin 150mg suppositories"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"02090000/04070100"	"Aspirin"
"15367"	"Anadin Extra tablets (Pfizer Consumer Healthcare Ltd)"	"Aspirin"	"300mg + 200mg + 45mg"	"Tablet"	"Oral"	"04070500"	"Aspirin"
"15397"	"ASPIRIN SOLUBLE 50 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"15447"	"ASPIRIN SOLUBLE 600 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"15517"	"ASPIRIN 100 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"15779"	"Codeine 8mg with aspirin 500mg soluble tablets"	"Aspirin"	"8mg + 500mg"	"Soluble Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"16184"	"Alka-seltzer Tablet (Bayer Plc)"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100"	"Aspirin"
"16597"	"Dipyridamole 10mg/2ml solution for injection ampoules"	"Dipyridamole"	"5mg/1ml"	"Solution for injection"	"Intravenous"	"64110000"	"Dipyridamole"
"16611"	"Anadin Tablet (Wyeth Consumer Healthcare)"	"Aspirin"	"325mg + 15mg"	"Tablet"	"Oral"	"04070100"	"Aspirin"
"17130"	"Persantin 10mg/2ml solution for injection ampoules (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"5mg/1ml"	"Solution for injection"	"Intravenous"	"64110000"	"Dipyridamole"
"17180"	"Metoclopramide with aspirin 5mg + 450mg Effervescent tablet"	"Aspirin"	"5mg + 450mg"	"Effervescent Tablet"	"Oral"	"04065500/04070401"	"Aspirin"
"17449"	"Ticlid 250mg tablets (Sanofi-Synthelabo Ltd)"	"Ticlopidine"	"250mg"	"Tablet"	"Oral"	"02090000"	"Ticlopidine"
"17456"	"Metoclopramide with lysine acetylsalicylate 10mg + 900mg Oral solution"	"Aspirin"	"10mg + 900mg"	"Oral Solution"	"Oral"	"04065500/04070401"	"Aspirin"
"17704"	"Platet 100mg Effervescent tablet (Roche Products Ltd)"	"Aspirin"	"100mg"	"Effervescent Tablet"	"Oral"	"02090000"	"Aspirin"
"17817"	"CLOPIDOGREL FC"	"Clopidogrel"	NA	NA	NA	"00000000"	"Clopidogrel"
"17920"	"Disprin cv 100mg Modified-release tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"100mg"	"Modified-release Tablet"	"Oral"	"02090000"	"Aspirin"
"17926"	"Aspirin 400mg with Codeine 8mg tablets"	"Aspirin"	"400mg + 8mg"	"Tablets"	"Oral"	"04070100/04070200"	"Aspirin"
"18030"	"Imazin XL forte tablets (Napp Pharmaceuticals Ltd)"	"Aspirin"	"150mg + 60mg"	"Modified-release tablet"	"Oral"	"00000000"	"Aspirin"
"18217"	"Aspirin 300mg orodispersible tablets sugar free"	"Aspirin"	"300mg"	"Orodispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"18261"	"Aspirin 500mg with Papaveretum 7.71mg dispersible tablets"	"Aspirin"	"500mg + 7.71mg"	"Dispersible Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"18329"	"Enprin 75mg gastro-resistant tablets (Galpharm International Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"19189"	"Micropirin 75mg Gastro-resistant tablet (Ratiopharm UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"19255"	"Paracetamol 200mg with aspirin 300mg & caffeine 45mg tablet"	"Aspirin"	"200mg + 300mg +45mg"	"Tablets"	"Oral"	"04070100"	"Aspirin"
"19577"	"NU-SEALS ASPIRIN"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"19674"	"ASPIRIN DISPERSIBLE"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"19724"	"ASPIRIN & CODEINE paed 75 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"19797"	"NU-SEALS ASPIRIN"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"19813"	"ASPIRIN SOLUBLE"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"20127"	"Codeine phosphate 8mg with aspirin 400mg with caffeine dispersible tablets"	"Aspirin"	"8mg+400mg"	"Dispersible Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"20206"	"ASPIRIN 50 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"20650"	"Aspirin 300mg / Paracetamol 200mg dispersible tablets sugar free"	"Aspirin"	"300mg + 200mg"	"Dispersible tablet"	"Oral"	"04070100"	"Aspirin"
"20840"	"Acetylsalicylic acid mix"	"Aspirin"	NA	"Mixture"	"Oromucosal"	"04070100"	"Aspirin"
"21067"	"Doloxene Capsule (Eli Lilly and Company Ltd)"	"Aspirin"	NA	"Capsule"	"Oral"	"04070100"	"Aspirin"
"21380"	"Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets"	"Aspirin"	"75mg + 60mg"	"Modified-release tablet"	"Oral"	"00000000"	"Aspirin"
"21382"	"Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets"	"Aspirin"	"150mg + 60mg"	"Modified-release tablet"	"Oral"	"00000000"	"Aspirin"
"21770"	"Paracetamol 200mg with aspirin 300mg dispersible tablet"	"Aspirin"	"200mg + 300mg"	"Dispersible Tablet"	"Oral"	"04070100"	"Aspirin"
"21921"	"Postmi ec 300mg Gastro-resistant tablet (Ashbourne Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"21932"	"ETHOHEPTALINE CITRATE/ASPIRIN MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"21989"	"Cerebrovase 100mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"22107"	"ASPIRIN disp 200 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"22138"	"Aspirin 324mg modified-release tablets"	"Aspirin"	"324mg"	"Modified Release Tablet"	"Oral"	"02090000"	"Aspirin"
"22232"	"Disprin Direct 300mg orodispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Orodispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"22253"	"ASPIRIN paed 150 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"22305"	"Disprin Extra dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg + 200mg"	"Dispersible tablet"	"Oral"	"04070100"	"Aspirin"
"22450"	"ASPIRIN & CODEINE 75 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"22618"	"Solprin 75mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"22776"	"Aspirin 500mg with Cyclizine 25mg effervescent tablets"	"Aspirin"	"500mg+25mg"	"Effervescent Tablet"	"Oral"	"03040103/04070401"	"Aspirin"
"22824"	"ASPIRIN disp 600 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"22863"	"ASPIRIN S/R 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"22864"	"ASPIRIN PAED MIX"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"23250"	"ASPIRIN /ETHOHEPTAZINE CITRATE /MEPROBAM 250 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"23488"	"Claradin 300mg Tablet (Nicholas Laboratories Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"23491"	"ASPIRIN 500 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"23495"	"ASPIRIN"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"23593"	"PostMI 75 dispersible tablets (Ashbourne Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"23841"	"Safapryn Tablet (Pfizer Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100"	"Aspirin"
"23878"	"Nu-seals cardio ec 75mg Gastro-resistant tablet (Genus Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"23932"	"Aspro Clear 300mg effervescent tablets (Bayer Plc)"	"Aspirin"	"300mg"	"Effervescent tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"24025"	"Caprin 300mg gastro-resistant tablets (Pinewood Healthcare)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"24309"	"Paracetamol 120mg with aspirin 165.3mg & caffeine 60mg powder"	"Aspirin"	"120mg + 165.3mg + 60mg"	"Powders"	"Oral"	"04070100"	"Aspirin"
"24427"	"ANHYDROUS CITRIC ACID /ASPIRIN /CALCIUM 8 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"24498"	"ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"24622"	"Aspirin 325mg / Caffeine 22mg tablets"	"Aspirin"	"325mg + 22mg"	"Tablet"	"Oral"	"00000000"	"Aspirin"
"24828"	"Hypon Tablet (Wellcome Medical Division)"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"24857"	"ASPIRIN 250 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"24960"	"Aspirin 300mg tablets (Vantage)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"25211"	"Anadin Original tablets (Pfizer Consumer Healthcare Ltd)"	"Aspirin"	"325mg + 15mg"	"Tablet"	"Oral"	"04070100"	"Aspirin"
"25232"	"Vasyrol cold sore 100mg Tablet (Shire Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"25284"	"Cerebrovase 25mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"25335"	"PostMI 75 EC tablets (Ashbourne Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"25433"	"Radian B Muscle lotion (Thornton & Ross Ltd)"	"Aspirin"	"6mg/1ml + 12mg/1ml + 6mg/1ml + 14mg/1ml"	"Liquid"	"Cutaneous"	"10030251"	"Aspirin"
"25718"	"Angettes 75 tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"25959"	"ASPIRIN/CAFFEINE/DEXTROPROPOXYPHENE NAPS PUL"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"26099"	"ASPIRIN 175 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"26424"	"ASPIRIN 200 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"26582"	"ASPIRIN PAED 100 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"26792"	"ASPIRIN 125 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"26967"	"Alka-Seltzer XS effervescent tablets (Bayer Plc)"	"Aspirin"	"133mg + 267mg + 40mg + 954mg + 1.606gram"	"Effervescent tablet"	"Oral"	"04070500"	"Aspirin"
