ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
14841000033110		Adrenaline  Eye drops  1 %							24019

14941000033119	41736211000001103	Adapalene 0.1% gel	Adapalene 0.1% gel	Gel/ Cutaneous gel	Cutaneous	Adapalene	1.000mg/1.000gram	13060100	682986

15141000033115		Adrenaline Min-I-Jet  Injection  0.5 mg/0.5 ml							1630

15241000033110		Adrenaline Min-I-Jet  Injection  1 mg/1 ml							7819

15541000033112		Adrenaline  Injection  100 micrograms/ml							866

15641000033113		Adrenaline Acid Tartrate  Injection  1 mg/10 ml							36

15741000033116		Adrenaline Acid Tartrate  Injection  300 micrograms/3 ml							663

15841000033114		Adrenaline Acid Tartrate  Inhaler  280 micrograms/puff							366

15941000033118		Adrenaline  Injection  1 mg/ml							14424

16041000033111		Adsorbed Diphtheria And Tetanus Vaccine Bp  Injection  							22870

16141000033110		Adsorbed Tetanus Vaccine Bp  Injection  							238576

16241000033115		Adsorbed Diph. Tet. And Pert. Vaccine  Injection  							9789

16341000033113		Adrenaline  Intracardiac injection  100 micrograms/ml							8

16441000033119		Adcortyl  Injection  10mg/ml							35746

16541000033118	4744411000001104	Adenocor 6mg/2ml solution for injection vials (Sanofi)	Adenocor 6mg/2ml solution for injection vials	Solution for injection	Intravenous	Adenosine	3.000mg/1.000ml		4

16641000033117	35894711000001106	Adenosine 6mg/2ml solution for injection vials	Adenosine 6mg/2ml solution for injection vials	Solution for injection	Intravenous	Adenosine	3.000mg/1.000ml	02030200	29

16741000033114		Adrenaline Tartrate  Injection  1mg/ml							124

16941000033112		Advera  Liquid Feed (Chocolate)  							4

17041000033113		Advera  Liquid feed (orange)  							16

17141000033112	2881311000001105	Adalat LA 30mg tablets (Bayer Plc)	Adalat LA 30mg tablets	Modified-release tablet	Oral	Nifedipine	30.000mg		4266520

17241000033117	235511000001104	Adalat LA 60mg tablets (Bayer Plc)	Adalat LA 60mg tablets	Modified-release tablet	Oral	Nifedipine	60.000mg		2396432

17341000033110	2887311000001104	Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd)	Adizem-SR 120mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg		495022

17441000033116	2886711000001103	Adizem-SR 180mg capsules (Napp Pharmaceuticals Ltd)	Adizem-SR 180mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	180.000mg		312011

17541000033115		Adizem-Sr  M/R capsules  300 mg							7797

17641000033119	2887011000001102	Adizem-SR 90mg capsules (Napp Pharmaceuticals Ltd)	Adizem-SR 90mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	90.000mg		755244

17741000033111	2937811000001108	Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd)	Adizem-XL 120mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg		1073675

17841000033118	2938011000001101	Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd)	Adizem-XL 180mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	180.000mg		923957

17941000033114	2886311000001102	Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd)	Adizem-XL 240mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	240.000mg		1104517

18041000033112	2886111000001104	Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd)	Adizem-XL 300mg capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	300.000mg		852842

18141000033111		Adizem-60  M/R tablets  60 mg							7022

18241000033116	74111000001103	Adipine MR 20 tablets (Chiesi Ltd)	Adipine MR 20 tablets	Modified-release tablet	Oral	Nifedipine	20.000mg		845217

18341000033114	833611000001109	Adipine MR 10 tablets (Chiesi Ltd)	Adipine MR 10 tablets	Modified-release tablet	Oral	Nifedipine	10.000mg		543414

18441000033115		Adizem-Xl Plus  M/R capsules							52

18541000033119		Adcortyl  Ointment  0.1 %							2830

18641000033118		Adcortyl With Graneodin  Ointment  							86

18741000033110	106211000001101	Adcortyl in Orabase 0.1% oromucosal paste (Bristol-Myers Squibb Pharmaceuticals Ltd)	Adcortyl in Orabase 0.1% oromucosal paste	Oromucosal paste/ Paste	Oromucosal	Triamcinolone acetonide	1.000mg/1.000gram		488290

18841000033117	37055911000001102	Tetanus vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes	Tetanus vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes	Suspension for injection	Subcutaneous/ Intramuscular	Tetanus toxoid		14040000	426305

18941000033113	5233311000001108	Additrace concentrate for solution for infusion 10ml ampoules (Fresenius Kabi Ltd)	Additrace concentrate for solution for infusion 10ml ampoules	Solution for infusion	Intravenous	Chromic chloride hexahydrate/ Copper chloride dihydrate/ Ferric chloride hexahydrate/ Manganese chloride tetrahydrate/ Potassium iodide/ Sodium fluoride/ Sodium molybdate dihydrate/ Sodium selenite anhydrous/ Zinc chloride	5.330microgram/1.000ml + 340.000microgram/1.000ml + 540.000microgram/1.000ml + 99.000microgram/1.000ml + 16.600microgram/1.000ml + 210.000microgram/1.000ml + 4.850microgram/1.000ml + 6.900microgram/1.000ml + 1.360mg/1.000ml		59

19141000033117	5233011000001105	Addiphos solution for infusion 20ml vials (Fresenius Kabi Ltd)	Addiphos solution for infusion 20ml vials	Solution for infusion	Intravenous	Disodium phosphate dihydrate/ Potassium dihydrogen phosphate/ Potassium hydroxide	133.500mg/1.000ml + 170.100mg/1.000ml + 14.000mg/1.000ml		108

19241000033112		Adrenaline And Atropine  Spray							18

19341000033119	5011000001109	Adalat retard 20mg tablets (Bayer Plc)	Adalat retard 20mg tablets	Modified-release tablet	Oral	Nifedipine	20.000mg		2339192

19441000033113	569011000001108	Adalat retard 10mg tablets (Bayer Plc)	Adalat retard 10mg tablets	Modified-release tablet	Oral	Nifedipine	10.000mg		1706505

19541000033114		Adizem-Sr  Tablets  60 mg							5191

19641000033110	2885611000001102	Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd)	Adizem-SR 120mg tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	120.000mg		88440

19741000033118		Adizem Continus  Tablets  120 mg							2992

19841000033111		Aerolin 400  Aerosol inhalation  100 mcg/metered inhalation							2306

19941000033115		Aerolin Auto  Aerosol inhalation  100 micrograms/metered dose							13230

20041000033117	3293111000001105	Aerolin 100micrograms/dose Autohaler (3M Health Care Ltd)	Aerolin 100micrograms/dose Autohaler	 Pressurised inhalation	Inhalation	Salbutamol sulfate	100.000microgram/1.000dose		408962

20141000033118	3604911000001105	AeroBec 50 Autohaler (Meda Pharmaceuticals Ltd)	AeroBec 50 Autohaler	 Pressurised inhalation	Inhalation	Beclometasone dipropionate	50.000microgram/1.000dose		24294

20241000033113	3182411000001107	AeroBec Forte 250 Autohaler (Meda Pharmaceuticals Ltd)	AeroBec Forte 250 Autohaler	 Pressurised inhalation	Inhalation	Beclometasone dipropionate	250.000microgram/1.000dose		46909

20341000033115	3181411000001102	AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd)	AeroBec 100 Autohaler	 Pressurised inhalation	Inhalation	Beclometasone dipropionate	100.000microgram/1.000dose		170470

20441000033114	3235011000001104	Aerocrom inhaler (Castlemead Healthcare Ltd)	Aerocrom inhaler	 Pressurised inhalation	Inhalation	Salbutamol sulfate/ Sodium cromoglicate	100.000microgram/1.000dose + 1.000mg/1.000dose		18633

20541000033110	4179611000001107	Aerocrom Syncroner with spacer (Castlemead Healthcare Ltd)	Aerocrom Syncroner with spacer	 Pressurised inhalation	Inhalation	Salbutamol sulfate/ Sodium cromoglicate	100.000microgram/1.000dose + 1.000mg/1.000dose		5030

20641000033111		Aerosporin  Injection  500,000 unit/vial							1

20741000033119		Aerochamber  Spacer device  child (yellow) with mask							27448

20841000033112		Aerochamber  Spacer device  infant (orange) with mask							8951

20941000033116		Aerochamber  Spacer device  standard (blue)							108288

21041000033114		Aerochamber  Spacer device  standard (blue) with face mask							3892

21141000033113		Aenix-100  Tablets  100 mg							28

21241000033118		Afrazine  Nasal drops  0.05 %							7

21341000033111		Afrazine Paediatric  Nasal drops  0.025 %							1

21441000033117	4935611000001108	Afrazine 0.05% nasal spray (Schering-Plough Ltd)	Afrazine 0.05% nasal spray	Spray	Nasal	Oxymetazoline hydrochloride	500.000microgram/1.000ml		148

21541000033116		Agiolax  Granules							1592

21641000033115		Aglutella  Macaroni  							498

21741000033112		Agarol  Mixture  							77

21841000033119		Aglutella  Pasta spirals  							1046

21941000033110		Aglutella Low-Protein  Rice  							941

22041000033116		Aglutella  Semolina  							348

22141000033117		Aglutella  Spaghetti rings  							154

22241000033112		Aglutella  Spaghetti  							1779

22341000033119		Aglutella  Tagliatelle  							414

22441000033113		Aglutella Azeta  Wafers  							90

22541000033114		Aglutella Cream Filled  Wafers  							203

